name,what have been runned,output
signal_analysis.py,"!python /week1/p3_physio/w1_setup/signal_analysis.py \
    --rppg_real /kaggle/working/logs/signal_cache/rppg_summary_real.csv \
    --rppg_fake /kaggle/working/logs/signal_cache/rppg_summary_fake.csv \
    --blink_real /kaggle/working/logs/signal_cache/blinks_summary_real.csv \
    --blink_fake /kaggle/working/logs/signal_cache/blinks_summary_fake.csv \
    --out_dir /kaggle/working/figures","======================================================================
rPPG SIGNAL ANALYSIS
======================================================================
  mean_snr_db                          KS=0.120 p=0.4695  MW_p=0.7554  real_mean=16.32  fake_mean=16.39
  Saved: /kaggle/working/figures/dist_rppg_mean_snr_db.png
  mean_bpm                             KS=0.090 p=0.8154  MW_p=0.9903  real_mean=69.72  fake_mean=68.54
  Saved: /kaggle/working/figures/dist_rppg_mean_bpm.png
  snr_chrom                            KS=0.170 p=0.1112  MW_p=0.5389  real_mean=23.84  fake_mean=23.95
  Saved: /kaggle/working/figures/dist_rppg_snr_chrom.png
  snr_pos                              KS=0.110 p=0.5830  MW_p=0.9795  real_mean=8.80  fake_mean=8.83
  Saved: /kaggle/working/figures/dist_rppg_snr_pos.png
  bpm_agreement                        KS=0.080 p=0.9084  MW_p=0.7400  real_mean=18.36  fake_mean=21.36
  Saved: /kaggle/working/figures/dist_rppg_bpm_agreement.png

======================================================================
BLINK SIGNAL ANALYSIS
======================================================================
  blinks_per_min                       KS=0.030 p=1.0000  MW_p=0.6231  real_mean=1.28  fake_mean=1.44
  Saved: /kaggle/working/figures/dist_blink_blinks_per_min.png
  ibi_cv                               KS=0.010 p=1.0000  MW_p=0.6613  real_mean=0.02  fake_mean=0.02
  Saved: /kaggle/working/figures/dist_blink_ibi_cv.png
  ear_entropy                          KS=0.080 p=0.9084  MW_p=0.5526  real_mean=0.33  fake_mean=0.35
  Saved: /kaggle/working/figures/dist_blink_ear_entropy.png
  ear_mean                             KS=0.050 p=0.9997  MW_p=0.9057  real_mean=0.25  fake_mean=0.25
  Saved: /kaggle/working/figures/dist_blink_ear_mean.png
  mean_blink_dur                       KS=0.040 p=1.0000  MW_p=0.6046  real_mean=26.50  fake_mean=30.08
  Saved: /kaggle/working/figures/dist_blink_mean_blink_dur.png

======================================================================
SUMMARY — significant differences (p < 0.05)
======================================================================
* Trackio project initialized: p3_physio_deepfake
* Trackio metrics will be synced to Hugging Face Dataset: GoodBoyXD/bioforensics-dataset
* Found existing space: https://huggingface.co/spaces/GoodBoyXD/bioforensics
* View dashboard by going to: https://GoodBoyXD-bioforensics.hf.space/
* NVIDIA GPU detected, enabling automatic GPU metrics logging
* Created new run: GoodBoyXD-1773324817

[Trackio] Metrics logged to project 'p3_physio_deepfake'

[Local] Metrics saved → /kaggle/working/figures/w1_analysis_metrics.csv
* Run finished. Uploading logs to Trackio Space (please wait...)
/usr/local/lib/python3.12/dist-packages/trackio/run.py:718: UserWarning: Could not flush all logs within 30s. Some data may be buffered locally.
  warnings.warn("
extract_rppg.py,"!python /week1/p3_physio/w1_setup/extract_rppg.py \
    --video_dir /kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/original \
    --label real \
    --out_dir ./logs/signal_cache \
    --max_videos 100","rPPG [real]: 100%|████████████████████████████| 100/100 [12:12<00:00,  7.33s/it]
  [INFO] Dropped 1 videos with no face detection (SNR sentinel)

Saved 99 results → logs/signal_cache/rppg_summary_real.csv

  SNR (dB)   mean=17.02  std=2.52
  BPM        mean=73.5  std=22.4"
extract_rppg.py,"!python /week1/p3_physio/w1_setup/extract_rppg.py \
    --video_dir /kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/Deepfakes \
    --label fake \
    --out_dir ./logs/signal_cache \
    --max_videos 100","rPPG [fake]: 100%|████████████████████████████| 100/100 [12:23<00:00,  7.43s/it]
  [INFO] Dropped 2 videos with no face detection (SNR sentinel)

Saved 98 results → logs/signal_cache/rppg_summary_fake.csv

  SNR (dB)   mean=17.05  std=2.68
  BPM        mean=64.7  std=17.3"
extract_blinks.py,"!python /week1/p3_physio/w1_setup/extract_blinks.py \
    --video_dir /kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/original \
    --label real \
    --out_dir ./logs/signal_cache \
