config,variant,n_test,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
test_celebdf,backbone+blink,1758,0.943892,0.000000,0.124757,0.000000,0.583009,0.000000,0.741245,0.000000,0.832685,0.000000
test_celebdf,backbone+rppg,1758,0.943286,0.000000,0.125081,0.000000,0.572633,0.000000,0.713359,0.000000,0.817769,0.000000
test_celebdf,backbone_only,1758,0.943685,0.000000,0.120496,0.000000,0.585603,0.000000,0.728923,0.000000,0.812581,0.000000
test_celebdf,full_fusion,1758,0.944030,0.000000,0.125081,0.000000,0.547990,0.000000,0.712062,0.000000,0.830091,0.000000
test_dfdc,backbone+blink,77,0.672727,0.000000,0.322727,0.000000,0.054545,0.000000,0.109091,0.000000,0.109091,0.000000
test_dfdc,backbone+rppg,77,0.648760,0.000000,0.404545,0.000000,0.036364,0.000000,0.054545,0.000000,0.109091,0.000000
test_dfdc,backbone_only,77,0.656198,0.000000,0.363636,0.000000,0.036364,0.000000,0.109091,0.000000,0.109091,0.000000
test_dfdc,full_fusion,77,0.661983,0.000000,0.404545,0.000000,0.054545,0.000000,0.072727,0.000000,0.109091,0.000000
test_ff,backbone+blink,600,0.628680,0.000000,0.409000,0.000000,0.038000,0.000000,0.092000,0.000000,0.254000,0.000000
test_ff,backbone+rppg,600,0.615620,0.000000,0.410000,0.000000,0.056000,0.000000,0.116000,0.000000,0.254000,0.000000
test_ff,backbone_only,600,0.628940,0.000000,0.400000,0.000000,0.030000,0.000000,0.100000,0.000000,0.250000,0.000000
test_ff,full_fusion,600,0.617540,0.000000,0.400000,0.000000,0.060000,0.000000,0.128000,0.000000,0.254000,0.000000
