config,variant,n_test,val_source,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
test_celebdf,backbone_only,1758,FF++ (identity-aware),0.7555753710909353,0.006365587054548378,0.31837560647547675,0.0020852919904258247,0.1385646346735841,0.014821409179785512,0.24254215304798965,0.00701469119740076,0.37137916126242976,0.020346359904090144
test_celebdf,backbone+rppg,1758,FF++ (identity-aware),0.7494275512001409,0.008734664370443925,0.3238398904741317,0.004260340106643612,0.13359273670557717,0.01019211001653808,0.23562472978815388,0.010382887988346579,0.3460873324686555,0.011679154915036844
test_celebdf,backbone+blink,1758,FF++ (identity-aware),0.7522527661686763,0.00595651743796036,0.3190391266753134,0.004264451284318242,0.13618677042801555,0.018491021309187103,0.2317336792044963,0.001981225981390341,0.3491137051448335,0.01570319120074706
test_celebdf,full_fusion,1758,FF++ (identity-aware),0.7460619125394309,0.0077611121780498575,0.32405605995100156,0.004588414980021914,0.12862083873757024,0.02096732495111481,0.2191958495460441,0.004049933851101427,0.3270644185041072,0.01834640933222546
test_dfdc,backbone_only,77,FF++ (identity-aware),0.6465564738292011,0.005804767907907838,0.353030303030303,0.02663393307764688,0.06666666666666667,0.01049727762162956,0.0909090909090909,0.01818181818181818,0.11515151515151513,0.010497277621629554
test_dfdc,backbone+rppg,77,FF++ (identity-aware),0.6484848484848484,0.005377195949295632,0.3606060606060606,0.0052486388108147815,0.04242424242424242,0.010497277621629558,0.06666666666666667,0.020994555243259123,0.12727272727272726,0.01818181818181818
test_dfdc,backbone+blink,77,FF++ (identity-aware),0.6628099173553719,0.0024793388429751873,0.3333333333333333,0.018370235837851717,0.07272727272727272,0.018181818181818184,0.10303030303030303,0.02099455524325911,0.10909090909090909,0.018181818181818174
test_dfdc,full_fusion,77,FF++ (identity-aware),0.6600550964187327,0.007498984897419396,0.38030303030303036,0.028867513459481315,0.0606060606060606,0.010497277621629558,0.07878787878787878,0.020994555243259123,0.11515151515151516,0.02099455524325911
test_ff,backbone_only,600,CelebDF (subject-aware),0.6596399999999999,0.0027471439714729143,0.38999999999999996,0.008000000000000007,0.10133333333333333,0.02042873792805942,0.2313333333333333,0.018903262505010437,0.2933333333333334,0.024440403706431146
test_ff,backbone+rppg,600,CelebDF (subject-aware),0.6633466666666666,0.008004357146787804,0.3866666666666667,0.005773502691896262,0.10733333333333334,0.014468356276140468,0.238,0.01587450786638754,0.3006666666666667,0.024110855093366825
test_ff,backbone+blink,600,CelebDF (subject-aware),0.6588266666666667,0.002151681512987764,0.39266666666666666,0.006429100507328643,0.09933333333333333,0.023692474191889152,0.23399999999999999,0.015620499351813307,0.2906666666666667,0.018475208614068008
test_ff,full_fusion,600,CelebDF (subject-aware),0.6641866666666667,0.008216479375823526,0.38599999999999995,0.005291502622129186,0.10933333333333332,0.013316656236958784,0.23933333333333331,0.011547005383792509,0.3006666666666667,0.025324559884296768
