config,train,test,seed,variant,n_train,n_val,n_test,val_source,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,7,backbone_only,5781,600,1758,FF++ (identity-aware),0.7540411682759284,0.9526804130417539,0.3195795503674881,0.1309987029831388,0.2503242542153048,0.37937743190661477
test_celebdf,ff+dfdc,celebdf,7,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.7438061440169093,0.9501895130435122,0.3281002305807753,0.13164721141374838,0.2457846952010376,0.35149156939040205
test_celebdf,ff+dfdc,celebdf,7,backbone+blink,5781,600,1758,FF++ (identity-aware),0.751657299322669,0.9518374811044847,0.3231913820435221,0.13553826199740596,0.23216601815823606,0.3670557717250324
test_celebdf,ff+dfdc,celebdf,7,full_fusion,5781,600,1758,FF++ (identity-aware),0.7412241197098525,0.9493944226022552,0.32874873901138496,0.1251621271076524,0.2237354085603113,0.34824902723735407
test_celebdf,ff+dfdc,celebdf,13,backbone_only,5781,600,1758,FF++ (identity-aware),0.7501170917999712,0.9507760473872504,0.3195795503674881,0.12905317769131,0.24059662775616084,0.34824902723735407
test_celebdf,ff+dfdc,celebdf,13,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.7449860690781572,0.949492840263118,0.3238398904741317,0.1245136186770428,0.23605706874189364,0.3326848249027237
test_celebdf,ff+dfdc,celebdf,13,backbone+blink,5781,600,1758,FF++ (identity-aware),0.7466163472162175,0.9495966993395557,0.31467070183023493,0.11802853437094682,0.23346303501945526,0.3424124513618677
test_celebdf,ff+dfdc,celebdf,13,full_fusion,5781,600,1758,FF++ (identity-aware),0.7419476869865975,0.9484713759618693,0.3238398904741317,0.10959792477302205,0.2178988326848249,0.3164721141374838
test_celebdf,ff+dfdc,celebdf,99,backbone_only,5781,600,1758,FF++ (identity-aware),0.7625678531969063,0.9541081156412761,0.3159677186914541,0.1556420233463035,0.23670557717250323,0.3865110246433204
test_celebdf,ff+dfdc,celebdf,99,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.7594904405053562,0.9531952463830771,0.3195795503674881,0.14461738002594035,0.22503242542153049,0.3540856031128405
test_celebdf,ff+dfdc,celebdf,99,backbone+blink,5781,600,1758,FF++ (identity-aware),0.7584846519671422,0.9528768134059493,0.3192552961521833,0.1549935149156939,0.22957198443579765,0.33787289234760054
test_celebdf,ff+dfdc,celebdf,99,full_fusion,5781,600,1758,FF++ (identity-aware),0.7550139309218428,0.9518028252002263,0.3195795503674881,0.1511024643320363,0.21595330739299612,0.3164721141374838
test_dfdc,ff+celebdf,dfdc,7,backbone_only,11929,600,77,FF++ (identity-aware),0.640495867768595,0.8010649862464773,0.36363636363636365,0.07272727272727272,0.09090909090909091,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,7,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6429752066115703,0.7951979895308442,0.36363636363636365,0.05454545454545454,0.05454545454545454,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,7,backbone+blink,11929,600,77,FF++ (identity-aware),0.6603305785123967,0.8071738187185893,0.35454545454545455,0.07272727272727272,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,7,full_fusion,11929,600,77,FF++ (identity-aware),0.6520661157024793,0.7975087478171715,0.4136363636363637,0.05454545454545454,0.09090909090909091,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,13,backbone_only,11929,600,77,FF++ (identity-aware),0.6471074380165289,0.8010477662814478,0.37272727272727274,0.07272727272727272,0.10909090909090909,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,13,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6537190082644628,0.7958383332616129,0.36363636363636365,0.03636363636363636,0.09090909090909091,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,13,backbone+blink,11929,600,77,FF++ (identity-aware),0.6628099173553719,0.8051302874023726,0.32272727272727275,0.09090909090909091,0.09090909090909091,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,13,full_fusion,11929,600,77,FF++ (identity-aware),0.6669421487603305,0.8059753745239502,0.36363636363636365,0.07272727272727272,0.09090909090909091,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,99,backbone_only,11929,600,77,FF++ (identity-aware),0.6520661157024793,0.7976063160930644,0.32272727272727275,0.05454545454545454,0.07272727272727272,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,99,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6487603305785123,0.7883555628657686,0.35454545454545455,0.03636363636363636,0.05454545454545454,0.10909090909090909
