variant,stratum,n_in_stratum,rescue_mean,regression_mean,net_mean,rescue_pct
backbone+rppg,ALL,1758,36.0,29.4,6.600000000000001,55.04587155963302
backbone+rppg,rppg_snr_high,440,11.6,11.0,0.5999999999999996,51.32743362831858
backbone+rppg,rppg_snr_low,440,6.4,5.0,1.4000000000000004,56.14035087719298
backbone+rppg,blink_int_high,440,8.4,7.0,1.4000000000000004,54.54545454545455
backbone+rppg,blink_int_low,440,9.6,7.6,2.0,55.81395348837209
backbone+rppg,real,216,4.2,5.8,-1.5999999999999996,42.0
backbone+rppg,fake,1542,31.8,23.6,8.2,57.40072202166064
backbone+blink,ALL,1758,39.6,52.8,-13.199999999999996,42.857142857142854
backbone+blink,rppg_snr_high,440,11.0,17.0,-6.0,39.285714285714285
backbone+blink,rppg_snr_low,440,9.4,9.8,-0.40000000000000036,48.95833333333333
backbone+blink,blink_int_high,440,4.6,32.6,-28.0,12.36559139784946
backbone+blink,blink_int_low,440,14.6,3.0,11.6,82.95454545454545
backbone+blink,real,216,6.0,5.2,0.7999999999999998,53.57142857142858
backbone+blink,fake,1542,33.6,47.6,-14.0,41.37931034482759
full_fusion,ALL,1758,53.4,81.0,-27.6,39.732142857142854
full_fusion,rppg_snr_high,440,13.6,23.8,-10.200000000000001,36.36363636363637
full_fusion,rppg_snr_low,440,12.2,17.0,-4.800000000000001,41.78082191780822
full_fusion,blink_int_high,440,5.8,37.8,-31.999999999999996,13.302752293577983
full_fusion,blink_int_low,440,21.4,11.6,9.799999999999999,64.84848484848484
full_fusion,real,216,9.8,6.2,3.6000000000000005,61.25000000000001
full_fusion,fake,1542,43.6,74.8,-31.199999999999996,36.82432432432432
