seed,variant,family,auc,ap,eer,tpr5
0,backbone_only,raw_concat_adamw,0.758809,0.953813,0.305502,0.241894
0,backbone_only,zscored_adamw,0.752036,0.947643,0.315968,0.192607
0,backbone_only,l2_logistic,0.623048,0.918850,0.430583,0.141375
0,backbone+rppg,raw_concat_adamw,0.746935,0.951090,0.319255,0.225681
0,backbone+rppg,zscored_adamw,0.749592,0.946958,0.324164,0.214008
0,backbone+rppg,l2_logistic,0.623193,0.917818,0.425998,0.128405
0,backbone+blink,raw_concat_adamw,0.754272,0.952625,0.314346,0.247730
0,backbone+blink,zscored_adamw,0.738888,0.946442,0.333333,0.178988
0,backbone+blink,l2_logistic,0.629901,0.921475,0.421413,0.143320
0,full_fusion,raw_concat_adamw,0.742473,0.949933,0.324164,0.239300
0,full_fusion,zscored_adamw,0.736826,0.945928,0.337918,0.169909
0,full_fusion,l2_logistic,0.627325,0.921217,0.425674,0.148508
1,backbone_only,raw_concat_adamw,0.756872,0.954157,0.323840,0.256809
1,backbone_only,zscored_adamw,0.745921,0.946775,0.328749,0.212711
1,backbone_only,l2_logistic,0.623048,0.918850,0.430583,0.141375
1,backbone+rppg,raw_concat_adamw,0.760250,0.954814,0.319580,0.278859
1,backbone+rppg,zscored_adamw,0.743170,0.946191,0.324164,0.202335
1,backbone+rppg,l2_logistic,0.623193,0.917818,0.425998,0.128405
1,backbone+blink,raw_concat_adamw,0.751931,0.952913,0.333333,0.256809
1,backbone+blink,zscored_adamw,0.731460,0.943146,0.342503,0.181582
1,backbone+blink,l2_logistic,0.629901,0.921475,0.421413,0.143320
1,full_fusion,raw_concat_adamw,0.755762,0.953670,0.324164,0.273022
1,full_fusion,zscored_adamw,0.730326,0.942896,0.342503,0.192607
1,full_fusion,l2_logistic,0.627325,0.921217,0.425674,0.148508
42,backbone_only,raw_concat_adamw,0.734634,0.948479,0.328424,0.214008
42,backbone_only,zscored_adamw,0.719997,0.936837,0.342503,0.151102
42,backbone_only,l2_logistic,0.623048,0.918850,0.430583,0.141375
42,backbone+rppg,raw_concat_adamw,0.738855,0.949497,0.333333,0.210117
42,backbone+rppg,zscored_adamw,0.717876,0.936277,0.347087,0.136835
42,backbone+rppg,l2_logistic,0.623193,0.917818,0.425998,0.128405
42,backbone+blink,raw_concat_adamw,0.731527,0.947575,0.337918,0.223735
42,backbone+blink,zscored_adamw,0.706091,0.935232,0.356581,0.125811
42,backbone+blink,l2_logistic,0.629901,0.921475,0.421413,0.143320
42,full_fusion,raw_concat_adamw,0.736709,0.948764,0.337918,0.206874
42,full_fusion,zscored_adamw,0.704439,0.934750,0.361165,0.119974
42,full_fusion,l2_logistic,0.627325,0.921217,0.425674,0.148508
1337,backbone_only,raw_concat_adamw,0.748811,0.951136,0.328749,0.245785
1337,backbone_only,zscored_adamw,0.720370,0.935539,0.348060,0.090791
1337,backbone_only,l2_logistic,0.623048,0.918850,0.430583,0.141375
1337,backbone+rppg,raw_concat_adamw,0.739771,0.949016,0.333333,0.226329
1337,backbone+rppg,zscored_adamw,0.719013,0.935395,0.342503,0.083009
1337,backbone+rppg,l2_logistic,0.623193,0.917818,0.425998,0.128405
1337,backbone+blink,raw_concat_adamw,0.744950,0.949909,0.315643,0.218547
1337,backbone+blink,zscored_adamw,0.706313,0.933638,0.365750,0.121271
1337,backbone+blink,l2_logistic,0.629901,0.921475,0.421413,0.143320
1337,full_fusion,raw_concat_adamw,0.737180,0.948170,0.329722,0.219844
1337,full_fusion,zscored_adamw,0.705570,0.933621,0.361165,0.135538
1337,full_fusion,l2_logistic,0.627325,0.921217,0.425674,0.148508
2024,backbone_only,raw_concat_adamw,0.747592,0.950720,0.324164,0.230220
2024,backbone_only,zscored_adamw,0.736107,0.940388,0.324164,0.121271
2024,backbone_only,l2_logistic,0.623048,0.918850,0.430583,0.141375
2024,backbone+rppg,raw_concat_adamw,0.756842,0.952752,0.319580,0.248379
2024,backbone+rppg,zscored_adamw,0.732818,0.939389,0.324164,0.119326
2024,backbone+rppg,l2_logistic,0.623193,0.917818,0.425998,0.128405
2024,backbone+blink,raw_concat_adamw,0.744828,0.949786,0.332361,0.226329
2024,backbone+blink,zscored_adamw,0.725627,0.940284,0.342503,0.138132
2024,backbone+blink,l2_logistic,0.629901,0.921475,0.421413,0.143320
2024,full_fusion,raw_concat_adamw,0.754311,0.951816,0.324164,0.219844
2024,full_fusion,zscored_adamw,0.722583,0.938802,0.347087,0.123865
2024,full_fusion,l2_logistic,0.627325,0.921217,0.425674,0.148508
