backbone,variant,stratum,fpr_target,rescue_mean,rescue_ci_lo,rescue_ci_hi,regression_mean,regression_ci_lo,regression_ci_hi,net_mean,net_ci_lo,net_ci_hi
CLIP,backbone+rppg,ALL,0.0100,11.8435,0.0000,41.0000,10.4095,0.0000,36.0000,1.4340,-32.0000,40.0000
CLIP,backbone+rppg,ALL,0.0500,25.5795,2.0000,80.0250,18.5810,0.0000,67.0000,6.9985,-51.0000,78.0000
CLIP,backbone+rppg,ALL,0.1000,22.3405,4.0000,67.0000,30.9290,4.0000,90.0000,-8.5885,-76.0000,51.0000
CLIP,backbone+rppg,rppg_snr_high_Q,0.0100,3.0880,0.0000,14.0000,3.3760,0.0000,13.0000,-0.2880,-13.0000,13.0000
CLIP,backbone+rppg,rppg_snr_high_Q,0.0500,9.8860,0.0000,38.0000,8.8560,0.0000,40.0000,1.0300,-40.0000,38.0000
CLIP,backbone+rppg,rppg_snr_high_Q,0.1000,7.4845,0.0000,31.0000,13.8545,0.0000,55.0000,-6.3700,-55.0000,26.0000
CLIP,backbone+rppg,blink_int_high_Q,0.0100,4.1775,0.0000,12.0000,4.2685,0.0000,15.0000,-0.0910,-14.0000,11.0000
CLIP,backbone+rppg,blink_int_high_Q,0.0500,8.2185,1.0000,23.0000,5.5300,0.0000,18.0000,2.6885,-14.0000,21.0000
CLIP,backbone+rppg,blink_int_high_Q,0.1000,6.2100,0.0000,16.0000,9.3980,1.0000,22.0000,-3.1880,-17.0000,13.0000
CLIP,backbone+rppg,blink_int_low_Q,0.0100,2.4125,0.0000,10.0000,1.3450,0.0000,6.0000,1.0675,-5.0000,10.0000
CLIP,backbone+rppg,blink_int_low_Q,0.0500,6.0755,0.0000,23.0250,2.8350,0.0000,9.0000,3.2405,-8.0000,23.0000
CLIP,backbone+rppg,blink_int_low_Q,0.1000,5.9735,0.0000,23.0000,5.7040,0.0000,27.0250,0.2695,-26.0000,22.0000
CLIP,backbone+rppg,real,0.0100,0.2140,0.0000,2.0000,0.1885,0.0000,2.0000,0.0255,-2.0000,2.0000
CLIP,backbone+rppg,real,0.0500,0.4055,0.0000,3.0000,0.3835,0.0000,3.0000,0.0220,-2.0000,2.0000
CLIP,backbone+rppg,real,0.1000,1.9465,0.0000,5.0000,1.9780,0.0000,6.0000,-0.0315,-4.0000,4.0000
CLIP,backbone+rppg,fake,0.0100,11.6535,0.0000,38.0000,10.2095,0.0000,33.0250,1.4440,-30.0000,38.0000
CLIP,backbone+rppg,fake,0.0500,24.6875,2.0000,73.0000,19.1490,0.0000,62.0250,5.5385,-51.0000,70.0000
CLIP,backbone+rppg,fake,0.1000,20.9385,2.0000,63.0000,28.0300,4.0000,83.0000,-7.0915,-73.0250,51.0000
CLIP,backbone+blink,ALL,0.0100,2.9190,0.0000,15.0000,22.1175,6.0000,45.0000,-19.1985,-45.0000,4.0000
CLIP,backbone+blink,ALL,0.0500,22.5485,5.0000,50.0000,20.5015,4.0000,51.0000,2.0470,-41.0000,29.0000
CLIP,backbone+blink,ALL,0.1000,26.5555,8.0000,61.0000,30.5035,13.0000,52.0000,-3.9480,-31.0000,36.0000
CLIP,backbone+blink,rppg_snr_high_Q,0.0100,0.3905,0.0000,3.0250,6.0170,0.0000,14.0000,-5.6265,-14.0000,2.0000
CLIP,backbone+blink,rppg_snr_high_Q,0.0500,5.0615,0.0000,12.0000,6.3045,0.0000,19.0000,-1.2430,-14.0000,6.0000
CLIP,backbone+blink,rppg_snr_high_Q,0.1000,4.6260,0.0000,14.0000,10.2900,2.0000,21.0000,-5.6640,-19.0000,9.0000
CLIP,backbone+blink,blink_int_high_Q,0.0100,0.3890,0.0000,3.0000,14.4305,4.0000,29.0000,-14.0415,-29.0000,-2.0000
CLIP,backbone+blink,blink_int_high_Q,0.0500,0.3825,0.0000,3.0000,15.4040,4.0000,33.0000,-15.0215,-32.0000,-4.0000
CLIP,backbone+blink,blink_int_high_Q,0.1000,1.0730,0.0000,4.0000,21.9635,9.0000,39.0000,-20.8905,-38.0250,-7.9750
CLIP,backbone+blink,blink_int_low_Q,0.0100,0.3950,0.0000,3.0000,1.3555,0.0000,6.0000,-0.9605,-6.0000,2.0000
CLIP,backbone+blink,blink_int_low_Q,0.0500,10.3900,2.0000,26.0000,1.0030,0.0000,5.0000,9.3870,0.0000,26.0000
CLIP,backbone+blink,blink_int_low_Q,0.1000,12.4985,2.0000,33.0000,0.9950,0.0000,5.0000,11.5035,-1.0000,33.0000
CLIP,backbone+blink,real,0.0100,0.4045,0.0000,3.0000,0.4075,0.0000,3.0000,-0.0030,-2.0000,2.0000
CLIP,backbone+blink,real,0.0500,0.9940,0.0000,4.0000,0.9820,0.0000,4.0000,0.0120,-3.0000,3.0000
CLIP,backbone+blink,real,0.1000,1.4025,0.0000,5.0000,1.3780,0.0000,4.0250,0.0245,-4.0000,3.0000
CLIP,backbone+blink,fake,0.0100,2.3470,0.0000,13.0000,21.7730,6.0000,39.0000,-19.4260,-39.0000,4.0000
CLIP,backbone+blink,fake,0.0500,21.7015,4.9750,45.0000,19.7280,4.0000,45.0000,1.9735,-39.0000,27.0000
CLIP,backbone+blink,fake,0.1000,24.9210,8.0000,52.0250,28.8455,13.0000,46.0000,-3.9245,-28.0000,34.0000
CLIP,full_fusion,ALL,0.0100,7.4600,0.0000,19.0000,26.3610,7.0000,57.0000,-18.9010,-50.0250,4.0000
CLIP,full_fusion,ALL,0.0500,24.3455,4.0000,75.0000,36.1965,7.0000,88.0000,-11.8510,-73.0000,60.0000
