backbone,variant,stratum,fpr_target,rescue_mean,rescue_ci_lo,rescue_ci_hi,regression_mean,regression_ci_lo,regression_ci_hi,net_mean,net_ci_lo,net_ci_hi
B4,backbone+rppg,ALL,0.0100,14.3635,3.0000,33.0000,20.0205,2.9750,47.0000,-5.6570,-34.0000,16.0000
B4,backbone+rppg,ALL,0.0500,50.6125,19.0000,102.0000,91.7625,31.0000,178.0000,-41.1500,-118.0000,20.0000
B4,backbone+rppg,ALL,0.1000,132.0565,58.0000,217.0250,97.1145,39.0000,176.0000,34.9420,-40.0000,116.0250
B4,backbone+rppg,rppg_snr_high_Q,0.0100,11.9710,3.0000,27.0000,2.8330,0.0000,7.0000,9.1380,-1.0000,23.0250
B4,backbone+rppg,rppg_snr_high_Q,0.0500,31.3225,13.0000,57.0000,2.7930,0.0000,8.0000,28.5295,12.0000,52.0000
B4,backbone+rppg,rppg_snr_high_Q,0.1000,74.6610,33.0000,124.0000,6.0485,1.0000,13.0000,68.6125,29.0000,114.0000
B4,backbone+rppg,blink_int_high_Q,0.0100,0.0000,0.0000,0.0000,4.7990,0.0000,12.0000,-4.7990,-12.0000,0.0000
B4,backbone+rppg,blink_int_high_Q,0.0500,8.2370,2.0000,16.0000,23.2105,6.0000,50.0000,-14.9735,-41.0000,2.0000
B4,backbone+rppg,blink_int_high_Q,0.1000,16.7840,5.0000,36.0000,22.8145,6.0000,49.0000,-6.0305,-35.0000,20.0000
B4,backbone+rppg,blink_int_low_Q,0.0100,4.7680,0.0000,12.0000,4.4545,0.0000,12.0000,0.3135,-9.0000,8.0000
B4,backbone+rppg,blink_int_low_Q,0.0500,14.1560,2.0000,38.0000,19.8130,5.0000,40.0000,-5.6570,-31.0000,20.0000
B4,backbone+rppg,blink_int_low_Q,0.1000,28.8525,8.0000,59.0000,30.3870,10.0000,58.0000,-1.5345,-32.0000,29.0000
B4,backbone+rppg,real,0.0100,0.9760,0.0000,3.0000,0.9780,0.0000,3.0000,-0.0020,-2.0000,2.0000
B4,backbone+rppg,real,0.0500,5.1645,1.0000,10.0000,5.2195,1.0000,12.0000,-0.0550,-7.0000,7.0000
B4,backbone+rppg,real,0.1000,10.5795,4.0000,18.0000,10.5735,4.0000,19.0000,0.0060,-10.0000,10.0000
B4,backbone+rppg,fake,0.0100,13.7875,4.0000,29.0000,19.1950,2.0000,44.0000,-5.4075,-35.0000,17.0000
B4,backbone+rppg,fake,0.0500,44.9585,19.0000,87.0000,85.6575,33.0000,152.0250,-40.6990,-112.0000,22.0250
B4,backbone+rppg,fake,0.1000,121.7775,64.0000,187.0000,86.4470,37.0000,151.0000,35.3305,-49.0000,116.0000
B4,backbone+blink,ALL,0.0100,3.7665,0.0000,13.0000,3.2025,0.0000,14.0000,0.5640,-12.0000,12.0000
B4,backbone+blink,ALL,0.0500,15.5800,2.0000,34.0000,12.7870,2.0000,29.0000,2.7930,-8.0000,15.0000
B4,backbone+blink,ALL,0.1000,15.2220,3.0000,35.0000,13.1425,2.0000,34.0000,2.0795,-10.0000,17.0000
B4,backbone+blink,rppg_snr_high_Q,0.0100,0.0000,0.0000,0.0000,1.2015,0.0000,5.0000,-1.2015,-5.0000,0.0000
B4,backbone+blink,rppg_snr_high_Q,0.0500,4.0170,0.0000,12.0250,5.6005,0.0000,17.0000,-1.5835,-12.0000,7.0000
B4,backbone+blink,rppg_snr_high_Q,0.1000,3.1670,0.0000,8.0000,1.9425,0.0000,6.0000,1.2245,-5.0000,7.0000
B4,backbone+blink,blink_int_high_Q,0.0100,2.7670,0.0000,10.0000,0.0000,0.0000,0.0000,2.7670,0.0000,10.0000
