config,variant,n_test,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
test_celebdf,backbone+blink,1758,0.619464,0.012508,0.425081,0.010688,0.033204,0.011394,0.142023,0.011034,0.211154,0.013468
test_celebdf,backbone+rppg,1758,0.617563,0.007589,0.416375,0.006551,0.022179,0.005276,0.076783,0.008611,0.202594,0.011543
test_celebdf,backbone_only,1758,0.608111,0.009383,0.436742,0.008391,0.028405,0.007036,0.140208,0.008814,0.200778,0.015810
test_celebdf,full_fusion,1758,0.617448,0.007314,0.419320,0.007085,0.023476,0.005605,0.077562,0.009505,0.202983,0.014508
test_dfdc,backbone+blink,77,0.597521,0.014231,0.452727,0.004066,0.196364,0.047062,0.258182,0.015212,0.298182,0.033029
test_dfdc,backbone+rppg,77,0.623140,0.012896,0.391818,0.041211,0.061818,0.024393,0.178182,0.034973,0.229091,0.016262
test_dfdc,backbone_only,77,0.601488,0.010798,0.421818,0.018295,0.189091,0.041858,0.240000,0.019917,0.309091,0.044536
test_dfdc,full_fusion,77,0.629752,0.015735,0.381818,0.029282,0.069091,0.029876,0.174545,0.030424,0.240000,0.060848
test_ff,backbone+blink,600,0.656236,0.016983,0.368000,0.011895,0.008000,0.002449,0.074000,0.026192,0.170800,0.062299
test_ff,backbone+rppg,600,0.671640,0.004948,0.382400,0.007797,0.015600,0.008877,0.134400,0.028893,0.271200,0.046575
test_ff,backbone_only,600,0.661664,0.017050,0.366000,0.005477,0.007200,0.002280,0.070000,0.018815,0.149200,0.042062
test_ff,full_fusion,600,0.665696,0.007241,0.388000,0.011045,0.015600,0.009099,0.142000,0.020248,0.254400,0.035395
