config,variant,n,auc,auc_ci_lo,auc_ci_hi,tpr1_ci_lo,tpr1_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
test_celebdf,backbone_only,1758,0.605094,0.567544,0.643656,0.013619,0.102464,0.083009,0.202351,0.162759,0.297698
test_celebdf,backbone+rppg,1758,0.606651,0.567130,0.643412,0.000649,0.048006,0.036316,0.160846,0.121271,0.313878
test_celebdf,backbone+blink,1758,0.635346,0.598357,0.673704,0.007117,0.123265,0.101816,0.204945,0.173784,0.314527
test_celebdf,full_fusion,1758,0.606536,0.567283,0.643810,0.000649,0.048654,0.035019,0.158885,0.127108,0.312581
test_dfdc,backbone_only,77,0.589256,0.460186,0.724029,0.090909,0.400000,0.109091,0.454545,0.127273,0.509091
test_dfdc,backbone+rppg,77,0.615702,0.467727,0.742149,0.018182,0.400455,0.036364,0.509091,0.054545,0.545455
test_dfdc,backbone+blink,77,0.580992,0.451219,0.711694,0.072727,0.400000,0.090909,0.472727,0.127273,0.527273
test_dfdc,full_fusion,77,0.635537,0.489236,0.764504,0.036364,0.454545,0.036364,0.545455,0.072727,0.581818
test_ff,backbone_only,600,0.651700,0.588885,0.714697,0.000000,0.064000,0.029950,0.184000,0.054000,0.270000
test_ff,backbone+rppg,600,0.675680,0.618617,0.728364,0.000000,0.104050,0.015950,0.316100,0.096000,0.438050
test_ff,backbone+blink,600,0.644140,0.582960,0.708145,0.000000,0.064050,0.026000,0.174000,0.052000,0.250050
test_ff,full_fusion,600,0.670000,0.612789,0.724226,0.000000,0.122000,0.016000,0.286000,0.110000,0.436000
