config,train,test,seed,variant,n_train,n_test,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,0,backbone_only,10552,1758,0.6050943940048998,0.9158301654748797,0.4433635970600951,0.02464332036316472,0.13618677042801555,0.20622568093385213
test_celebdf,ff+dfdc,celebdf,0,backbone+rppg,10552,1758,0.6066511144737474,0.9111054199858749,0.4259979824182159,0.019455252918287938,0.09014267185473411,0.20687418936446172
test_celebdf,ff+dfdc,celebdf,0,backbone+blink,10552,1758,0.6353461113512994,0.9232789530444127,0.4112714368064563,0.04798962386511025,0.1575875486381323,0.2230869001297017
test_celebdf,ff+dfdc,celebdf,0,full_fusion,10552,1758,0.606535523850699,0.9112049549554058,0.4305825767401643,0.01880674448767834,0.0927367055771725,0.20298313878080415
test_celebdf,ff+dfdc,celebdf,1,backbone_only,10552,1758,0.607802517173464,0.9160758794434531,0.43975176538406113,0.02594033722438392,0.1517509727626459,0.20038910505836577
test_celebdf,ff+dfdc,celebdf,1,backbone+rppg,10552,1758,0.6266693087380506,0.9150180836999421,0.4119199452370659,0.018158236057068743,0.07652399481193256,0.19779507133592736
test_celebdf,ff+dfdc,celebdf,1,backbone+blink,10552,1758,0.6097660565883652,0.9162087751695216,0.43975176538406113,0.022697795071335927,0.14072632944228275,0.20233463035019456
test_celebdf,ff+dfdc,celebdf,1,full_fusion,10552,1758,0.6259367343997694,0.9149373285812674,0.4119199452370659,0.01880674448767834,0.07976653696498054,0.19390402075226978
test_celebdf,ff+dfdc,celebdf,42,backbone_only,10552,1758,0.6241863621078926,0.9206992224325451,0.4220618965268771,0.04085603112840467,0.13813229571984437,0.2243839169909209
test_celebdf,ff+dfdc,celebdf,42,backbone+rppg,10552,1758,0.6168636210789259,0.9120574115268307,0.4115956910217611,0.022697795071335927,0.06614785992217899,0.1861219195849546
test_celebdf,ff+dfdc,celebdf,42,backbone+blink,10552,1758,0.6248198587692751,0.9206900534880557,0.4223861507421819,0.03826199740596628,0.14267185473411154,0.22827496757457846
test_celebdf,ff+dfdc,celebdf,42,full_fusion,10552,1758,0.6168125810635539,0.9117602017426454,0.41618028534370943,0.02464332036316472,0.06939040207522698,0.1867704280155642
test_celebdf,ff+dfdc,celebdf,1337,backbone_only,10552,1758,0.6030227698515637,0.9142554206189235,0.43877900273814674,0.023994811932555125,0.12905317769131,0.1874189364461738
test_celebdf,ff+dfdc,celebdf,1337,backbone+rppg,10552,1758,0.6152993947254648,0.9124174413529501,0.42044062545035304,0.0311284046692607,0.07652399481193256,0.2172503242542153
test_celebdf,ff+dfdc,celebdf,1337,backbone+blink,10552,1758,0.6040976125282221,0.9143101972296684,0.4305825767401643,0.020752269779507133,0.1264591439688716,0.19909208819714655
test_celebdf,ff+dfdc,celebdf,1337,full_fusion,10552,1758,0.6159989431714464,0.9124487367837999,0.42108913388096264,0.0324254215304799,0.07003891050583658,0.22503242542153049
test_celebdf,ff+dfdc,celebdf,2024,backbone_only,10552,1758,0.6004497526060432,0.9140223312410096,0.43975176538406113,0.026588845654993514,0.14591439688715954,0.185473411154345
test_celebdf,ff+dfdc,celebdf,2024,backbone+rppg,10552,1758,0.6223339097852717,0.9145494482936565,0.4119199452370659,0.019455252918287938,0.07457846952010376,0.20492866407263294
test_celebdf,ff+dfdc,celebdf,2024,backbone+blink,10552,1758,0.623291660661959,0.9203091637584622,0.42141338809626744,0.03631647211413749,0.14267185473411154,0.20298313878080415
test_celebdf,ff+dfdc,celebdf,2024,full_fusion,10552,1758,0.6219586155545948,0.9147366746993689,0.41682879377431903,0.022697795071335927,0.07587548638132295,0.20622568093385213
test_dfdc,ff+celebdf,dfdc,0,backbone_only,11929,77,0.5892561983471074,0.8164078954311369,0.4545454545454546,0.18181818181818182,0.21818181818181817,0.32727272727272727
test_dfdc,ff+celebdf,dfdc,0,backbone+rppg,11929,77,0.6157024793388429,0.8117849135360634,0.4545454545454546,0.07272727272727272,0.18181818181818182,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,0,backbone+blink,11929,77,0.5809917355371901,0.8142405968370021,0.4545454545454546,0.16363636363636364,0.2545454545454545,0.2909090909090909
test_dfdc,ff+celebdf,dfdc,0,full_fusion,11929,77,0.6355371900826446,0.8250222810128277,0.4136363636363637,0.09090909090909091,0.16363636363636364,0.34545454545454546
test_dfdc,ff+celebdf,dfdc,1,backbone_only,11929,77,0.5942148760330579,0.8173180516471881,0.4136363636363637,0.14545454545454545,0.23636363636363636,0.32727272727272727
test_dfdc,ff+celebdf,dfdc,1,backbone+rppg,11929,77,0.6198347107438017,0.8050094455033402,0.36363636363636365,0.03636363636363636,0.16363636363636364,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,1,backbone+blink,11929,77,0.5917355371900826,0.8188837653699272,0.44545454545454544,0.14545454545454545,0.2545454545454545,0.34545454545454546
test_dfdc,ff+celebdf,dfdc,1,full_fusion,11929,77,0.6347107438016529,0.8118209459471988,0.35454545454545455,0.03636363636363636,0.18181818181818182,0.23636363636363636
