config,variant,n,auc,auc_ci_lo,auc_ci_hi,tpr1_ci_lo,tpr1_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
test_celebdf,backbone_only,1758,0.943685,0.928339,0.957048,0.325551,0.681599,0.635538,0.791829,0.761997,0.892996
test_celebdf,backbone+rppg,1758,0.943286,0.927764,0.956617,0.320363,0.679783,0.618661,0.787938,0.757458,0.889770
test_celebdf,backbone+blink,1758,0.943892,0.928606,0.957088,0.356015,0.686868,0.637484,0.795736,0.758739,0.890402
test_celebdf,full_fusion,1758,0.944030,0.929074,0.957382,0.351475,0.684193,0.644585,0.787954,0.754848,0.892996
test_dfdc,backbone_only,77,0.656198,0.500806,0.789318,0.000000,0.200000,0.000000,0.454545,0.018182,0.581818
test_dfdc,backbone+rppg,77,0.648760,0.486777,0.785950,0.000000,0.181818,0.000000,0.472727,0.018182,0.600000
test_dfdc,backbone+blink,77,0.672727,0.514876,0.812417,0.017727,0.200000,0.018182,0.400000,0.036364,0.545909
test_dfdc,full_fusion,77,0.661983,0.505785,0.800868,0.000000,0.181818,0.018182,0.400000,0.018182,0.563636
test_ff,backbone_only,600,0.628940,0.575107,0.688202,0.018000,0.126250,0.063950,0.274000,0.122000,0.346050
test_ff,backbone+rppg,600,0.615620,0.561231,0.673462,0.032000,0.130000,0.056000,0.274000,0.116000,0.332050
test_ff,backbone+blink,600,0.628680,0.574275,0.686581,0.024000,0.118100,0.055950,0.282050,0.114000,0.366000
test_ff,full_fusion,600,0.617540,0.563419,0.675906,0.036000,0.140000,0.054000,0.276050,0.122000,0.334000
