config,variant,n_test,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
test_celebdf,backbone+blink,1758,0.795733,0.031616,0.284153,0.021580,0.092088,0.050032,0.288586,0.061068,0.442542,0.059083
test_celebdf,backbone+rppg,1758,0.787686,0.036540,0.287950,0.037271,0.050195,0.044985,0.248119,0.035861,0.397925,0.070103
test_celebdf,backbone_only,1758,0.795952,0.028686,0.279244,0.022094,0.087419,0.047193,0.269390,0.047507,0.436187,0.050593
test_celebdf,full_fusion,1758,0.794091,0.031230,0.281273,0.030589,0.059403,0.045048,0.253696,0.040831,0.427237,0.076551
test_dfdc,backbone+blink,77,0.578017,0.012098,0.442727,0.063278,0.149091,0.023706,0.174545,0.049125,0.210909,0.076709
test_dfdc,backbone+rppg,77,0.578347,0.020188,0.431818,0.025103,0.160000,0.064795,0.178182,0.068514,0.196364,0.068514
test_dfdc,backbone_only,77,0.562479,0.013737,0.448182,0.037565,0.149091,0.041461,0.156364,0.043788,0.192727,0.061119
test_dfdc,full_fusion,77,0.595868,0.025540,0.430000,0.027006,0.160000,0.053629,0.200000,0.069234,0.221818,0.062191
test_ff,backbone+blink,600,0.512476,0.004884,0.484800,0.005762,0.019600,0.006066,0.063600,0.011610,0.107600,0.013145
test_ff,backbone+rppg,600,0.512468,0.004281,0.490000,0.006519,0.017200,0.014184,0.060800,0.012696,0.112800,0.024601
test_ff,backbone_only,600,0.512904,0.005591,0.489800,0.000447,0.017200,0.003633,0.062400,0.005899,0.107600,0.011781
test_ff,full_fusion,600,0.510216,0.003813,0.492000,0.008396,0.015200,0.009445,0.062000,0.019026,0.114800,0.026855
