config,variant,n,auc,auc_ci_lo,auc_ci_hi,tpr1_ci_lo,tpr1_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
test_celebdf,backbone_only,1758,0.806057,0.769870,0.837781,0.077173,0.181599,0.144601,0.359322,0.298962,0.537613
test_celebdf,backbone+rppg,1758,0.824660,0.790088,0.855093,0.111543,0.199125,0.161381,0.436479,0.295704,0.573298
test_celebdf,backbone+blink,1758,0.802631,0.766637,0.834370,0.071336,0.176411,0.145914,0.374497,0.292477,0.529864
test_celebdf,full_fusion,1758,0.821258,0.786261,0.852062,0.105691,0.189381,0.157588,0.426735,0.293758,0.557733
test_dfdc,backbone_only,77,0.582645,0.438017,0.729773,0.054545,0.290909,0.072727,0.327273,0.072727,0.381818
test_dfdc,backbone+rppg,77,0.605785,0.468574,0.753719,0.072727,0.272727,0.090909,0.363636,0.090909,0.490909
test_dfdc,backbone+blink,77,0.593388,0.448719,0.736384,0.054545,0.290909,0.072727,0.345455,0.090909,0.400000
test_dfdc,full_fusion,77,0.621488,0.482624,0.760351,0.072727,0.327273,0.090909,0.418182,0.109091,0.490909
test_ff,backbone_only,600,0.510760,0.449102,0.576842,0.000000,0.070000,0.031950,0.120000,0.054000,0.176000
test_ff,backbone+rppg,600,0.509540,0.446995,0.574460,0.000000,0.066000,0.024000,0.112000,0.054000,0.188000
test_ff,backbone+blink,600,0.511720,0.449570,0.577344,0.000000,0.068000,0.034000,0.122050,0.052000,0.172050
test_ff,full_fusion,600,0.508600,0.447414,0.573143,0.000000,0.066000,0.026000,0.114000,0.056000,0.172050
