config,train,test,seed,variant,n_train,n_test,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,0,backbone_only,10552,1758,0.8060569486477398,0.9611656740030137,0.26850050439544604,0.13618677042801555,0.23994811932555124,0.4649805447470817
test_celebdf,ff+dfdc,celebdf,0,backbone+rppg,10552,1758,0.8246595330739299,0.9652828764473684,0.2547467214296008,0.12840466926070038,0.2607003891050584,0.47341115434500647
test_celebdf,ff+dfdc,celebdf,0,backbone+blink,10552,1758,0.8026312629101215,0.9604843030404788,0.27766969303934286,0.1303501945525292,0.26718547341115434,0.4487678339818418
test_celebdf,ff+dfdc,celebdf,0,full_fusion,10552,1758,0.821257866167075,0.9646722300247955,0.2593313157515492,0.13229571984435798,0.2808041504539559,0.5188067444876784
test_celebdf,ff+dfdc,celebdf,1,backbone_only,10552,1758,0.7466673872315895,0.9432736850182941,0.31467070183023493,0.01232166018158236,0.20428015564202334,0.3463035019455253
test_celebdf,ff+dfdc,celebdf,1,backbone+rppg,10552,1758,0.7429654849401931,0.9407749900971384,0.332360570687419,0.014267185473411154,0.18417639429312582,0.3035019455252918
test_celebdf,ff+dfdc,celebdf,1,backbone+blink,10552,1758,0.7444516500936734,0.9425973778700261,0.3195795503674881,0.013618677042801557,0.19390402075226978,0.3553826199740597
test_celebdf,ff+dfdc,celebdf,1,full_fusion,10552,1758,0.7426697530864198,0.940727171078826,0.33333333333333337,0.014915693904020753,0.1835278858625162,0.30739299610894943
test_celebdf,ff+dfdc,celebdf,42,backbone_only,10552,1758,0.8042285151558822,0.9615349008843992,0.2861903732526301,0.11413748378728923,0.32555123216601817,0.46238651102464334
test_celebdf,ff+dfdc,celebdf,42,backbone+rppg,10552,1758,0.7575389105058365,0.9486261194912079,0.3202280587980977,0.028534370946822308,0.26264591439688717,0.35992217898832685
test_celebdf,ff+dfdc,celebdf,42,backbone+blink,10552,1758,0.8012892107412212,0.9609707413897137,0.2874873901138493,0.12710765239948119,0.321011673151751,0.47341115434500647
test_celebdf,ff+dfdc,celebdf,42,full_fusion,10552,1758,0.798016645049719,0.9587016451734616,0.27766969303934286,0.06874189364461739,0.2827496757457847,0.4260700389105058
test_celebdf,ff+dfdc,celebdf,1337,backbone_only,10552,1758,0.8010490224335879,0.9584214083157255,0.26752774174953164,0.07782101167315175,0.2846952010376135,0.4494163424124514
test_celebdf,ff+dfdc,celebdf,1337,backbone+rppg,10552,1758,0.7934620742662247,0.9551562474739349,0.2819300331459864,0.041504539559014265,0.26848249027237353,0.3949416342412451
test_celebdf,ff+dfdc,celebdf,1337,backbone+blink,10552,1758,0.7987732382187636,0.9579989190983824,0.27211233607148005,0.07068741893644617,0.3086900129701686,0.42217898832684825
