variant,perturbation,n,auc_mean,auc_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std,ece_raw_mean,ece_raw_std,ece_platt_mean,ece_platt_std,delta_ece
backbone+blink,blur_s1,600,0.765104,0.001483,0.277600,0.027799,0.380800,0.013161,0.474400,0.009209,0.046550,0.007565,0.045879,0.005803,-0.000671
backbone+blink,blur_s2,600,0.732196,0.001881,0.178800,0.018794,0.314800,0.014533,0.391600,0.012442,0.072017,0.008050,0.061252,0.007775,-0.010765
backbone+blink,blur_s3,600,0.704228,0.002637,0.104000,0.013416,0.264000,0.015811,0.373600,0.016149,0.090149,0.005948,0.068307,0.004328,-0.021842
backbone+blink,clean,600,0.774672,0.002232,0.298400,0.004336,0.422400,0.015900,0.496400,0.008295,0.056515,0.006368,0.041757,0.005772,-0.014758
backbone+blink,downscale_2x,600,0.766668,0.001492,0.278800,0.026556,0.380000,0.013342,0.474000,0.013565,0.044150,0.005927,0.047827,0.004924,0.003677
backbone+blink,downscale_4x,600,0.733394,0.002108,0.200800,0.011100,0.313600,0.027979,0.426400,0.015126,0.064417,0.005021,0.056491,0.009118,-0.007926
backbone+blink,jpeg_q10,600,0.701868,0.002177,0.133200,0.018687,0.242800,0.012133,0.335200,0.009960,0.196974,0.032731,0.160975,0.026419,-0.035999
backbone+blink,jpeg_q30,600,0.741464,0.000861,0.217600,0.015646,0.368400,0.014926,0.423200,0.023690,0.195952,0.016405,0.168021,0.008371,-0.027931
backbone+blink,jpeg_q50,600,0.754692,0.001765,0.266400,0.018461,0.374400,0.015710,0.462000,0.029428,0.170341,0.017577,0.145948,0.010084,-0.024393
backbone+blink,noise_s10,600,0.763036,0.001104,0.294400,0.012033,0.380800,0.015531,0.482800,0.023732,0.068124,0.009291,0.059592,0.005383,-0.008532
backbone+blink,noise_s20,600,0.744452,0.001211,0.216400,0.010334,0.350400,0.013957,0.427600,0.006229,0.078319,0.007850,0.062094,0.006849,-0.016225
backbone+blink,noise_s5,600,0.762840,0.001315,0.316800,0.015271,0.384400,0.013221,0.473600,0.012442,0.063328,0.008327,0.055264,0.009997,-0.008064
backbone+rppg,blur_s1,600,0.759824,0.001073,0.294400,0.034997,0.377200,0.012696,0.448800,0.014184,0.045514,0.004720,0.047910,0.008814,0.002396
backbone+rppg,blur_s2,600,0.728056,0.000858,0.186000,0.020248,0.319200,0.006723,0.386400,0.014859,0.069988,0.007971,0.062921,0.009148,-0.007067
backbone+rppg,blur_s3,600,0.699488,0.002349,0.104800,0.015401,0.272800,0.010060,0.363600,0.015962,0.090441,0.004093,0.071324,0.006048,-0.019118
backbone+rppg,clean,600,0.769896,0.002332,0.306400,0.013520,0.412000,0.015427,0.484800,0.014738,0.052828,0.008233,0.040360,0.003847,-0.012468
backbone+rppg,downscale_2x,600,0.761864,0.001231,0.292800,0.030679,0.372800,0.016037,0.455600,0.019360,0.046001,0.001434,0.046504,0.007206,0.000503
backbone+rppg,downscale_4x,600,0.728616,0.000657,0.197200,0.021476,0.316800,0.016037,0.412800,0.016407,0.062812,0.005619,0.058294,0.008359,-0.004518
backbone+rppg,jpeg_q10,600,0.698428,0.002076,0.138800,0.030679,0.253600,0.006841,0.321600,0.007668,0.178430,0.042413,0.141833,0.030724,-0.036597
backbone+rppg,jpeg_q30,600,0.738516,0.001684,0.226800,0.002280,0.358000,0.023367,0.428000,0.014629,0.184315,0.026322,0.156553,0.011609,-0.027762
backbone+rppg,jpeg_q50,600,0.752336,0.001185,0.267200,0.021936,0.395600,0.021790,0.452000,0.020881,0.162086,0.027486,0.136968,0.015779,-0.025118
backbone+rppg,noise_s10,600,0.759376,0.001392,0.289200,0.016947,0.377600,0.024347,0.487200,0.014255,0.063156,0.007220,0.053593,0.004527,-0.009563
backbone+rppg,noise_s20,600,0.740564,0.000993,0.220800,0.013682,0.353200,0.012853,0.440800,0.007563,0.069968,0.008882,0.052705,0.009443,-0.017263
backbone+rppg,noise_s5,600,0.758880,0.002512,0.317200,0.019779,0.400000,0.024042,0.471600,0.020659,0.063105,0.010349,0.049750,0.006068,-0.013355
backbone_only,blur_s1,600,0.760036,0.001594,0.282400,0.035310,0.372800,0.010640,0.465200,0.013008,0.045965,0.005625,0.043819,0.011252,-0.002145
backbone_only,blur_s2,600,0.727844,0.001361,0.186800,0.018580,0.328000,0.006782,0.396000,0.015811,0.069280,0.005899,0.061742,0.009090,-0.007538
backbone_only,blur_s3,600,0.698308,0.001878,0.105600,0.013667,0.279600,0.013957,0.364800,0.008786,0.087853,0.003577,0.069412,0.005059,-0.018441
backbone_only,clean,600,0.768876,0.002949,0.300800,0.013312,0.414400,0.008989,0.490400,0.006066,0.052926,0.009196,0.045975,0.004922,-0.006951
backbone_only,downscale_2x,600,0.761460,0.001835,0.282000,0.033257,0.371600,0.013740,0.466400,0.008877,0.045657,0.002725,0.045812,0.007882,0.000155
