variant,perturbation,n,auc,auc_ci_lo,auc_ci_hi,tpr1_ci_lo,tpr1_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
backbone_only,blur_s1,600,0.762780,0.718796,0.806469,0.198000,0.376050,0.301950,0.494000,0.363900,0.572050
backbone_only,blur_s2,600,0.729580,0.682011,0.779329,0.138000,0.344000,0.265950,0.402000,0.306000,0.514050
backbone_only,blur_s3,600,0.700780,0.649874,0.754655,0.072000,0.280000,0.140000,0.390050,0.254000,0.460000
backbone_only,clean,600,0.770780,0.727720,0.814978,0.255950,0.428000,0.328000,0.510050,0.414000,0.572000
backbone_only,downscale_2x,600,0.764400,0.721270,0.809060,0.206000,0.376100,0.297950,0.492050,0.361950,0.576000
backbone_only,downscale_4x,600,0.730080,0.681746,0.778141,0.162000,0.336000,0.209950,0.416000,0.308000,0.524000
backbone_only,jpeg_q10,600,0.693200,0.638677,0.748401,0.080000,0.274000,0.191900,0.334000,0.248000,0.432050
backbone_only,jpeg_q30,600,0.737900,0.692457,0.786223,0.182000,0.384000,0.229950,0.446000,0.362000,0.532000
backbone_only,jpeg_q50,600,0.751360,0.707759,0.797003,0.242000,0.392050,0.271950,0.476050,0.380000,0.558050
backbone_only,noise_s10,600,0.759980,0.714229,0.804464,0.239950,0.400050,0.303950,0.504000,0.382000,0.592000
backbone_only,noise_s20,600,0.741140,0.693838,0.785464,0.168000,0.344300,0.223950,0.478050,0.363950,0.550000
backbone_only,noise_s5,600,0.760600,0.715375,0.805500,0.257950,0.412000,0.320000,0.518000,0.393950,0.568000
backbone+rppg,blur_s1,600,0.759600,0.715097,0.804353,0.192000,0.386000,0.317950,0.464000,0.354000,0.554050
backbone+rppg,blur_s2,600,0.728760,0.681016,0.777604,0.139950,0.334050,0.264000,0.408000,0.302000,0.518050
backbone+rppg,blur_s3,600,0.701840,0.651231,0.758240,0.070000,0.260050,0.142000,0.390050,0.254000,0.472000
backbone+rppg,clean,600,0.769880,0.727256,0.815080,0.250000,0.412000,0.330000,0.498000,0.400000,0.560000
backbone+rppg,downscale_2x,600,0.761500,0.717278,0.805680,0.200000,0.386000,0.314000,0.466050,0.352000,0.552000
backbone+rppg,downscale_4x,600,0.729380,0.680761,0.777862,0.150000,0.338000,0.210000,0.408050,0.309950,0.528050
backbone+rppg,jpeg_q10,600,0.696000,0.641678,0.751265,0.079950,0.276000,0.179900,0.344000,0.246000,0.434050
backbone+rppg,jpeg_q30,600,0.737420,0.691132,0.784349,0.186000,0.386050,0.224000,0.452000,0.370000,0.530000
backbone+rppg,jpeg_q50,600,0.750860,0.707239,0.795716,0.240000,0.404050,0.273950,0.476050,0.372000,0.542000
backbone+rppg,noise_s10,600,0.759840,0.714019,0.804686,0.232000,0.408050,0.303950,0.514050,0.392000,0.576000
backbone+rppg,noise_s20,600,0.740660,0.692310,0.784928,0.164000,0.356000,0.209950,0.470000,0.366000,0.552000
backbone+rppg,noise_s5,600,0.760140,0.715567,0.805069,0.248000,0.414050,0.312000,0.512000,0.406000,0.556050
backbone+blink,blur_s1,600,0.767080,0.721854,0.812813,0.206000,0.380000,0.290000,0.504050,0.350000,0.560000
backbone+blink,blur_s2,600,0.734340,0.685391,0.782924,0.144000,0.348000,0.276000,0.394000,0.311950,0.538000
backbone+blink,blur_s3,600,0.708700,0.659348,0.761687,0.076000,0.262050,0.146000,0.418050,0.252000,0.464050
backbone+blink,clean,600,0.775520,0.730957,0.820082,0.266000,0.438100,0.310000,0.514000,0.418000,0.562050
backbone+blink,downscale_2x,600,0.768260,0.723697,0.814607,0.215950,0.382050,0.289950,0.502000,0.353950,0.562050
backbone+blink,downscale_4x,600,0.735930,0.687003,0.783842,0.168000,0.324000,0.210000,0.442000,0.294000,0.526000
backbone+blink,jpeg_q10,600,0.699760,0.645655,0.755221,0.080000,0.258050,0.177950,0.348050,0.248000,0.456000
backbone+blink,jpeg_q30,600,0.740680,0.693336,0.788388,0.174000,0.384000,0.237950,0.442050,0.352000,0.538000
backbone+blink,jpeg_q50,600,0.753700,0.707917,0.798578,0.228000,0.386050,0.290000,0.472000,0.362000,0.576000
backbone+blink,noise_s10,600,0.763300,0.717496,0.807862,0.236000,0.408000,0.315900,0.496000,0.382000,0.590000
backbone+blink,noise_s20,600,0.746300,0.699453,0.790801,0.162000,0.352000,0.235750,0.466000,0.362000,0.534050
backbone+blink,noise_s5,600,0.764200,0.719339,0.808007,0.264000,0.400050,0.312000,0.512000,0.384000,0.582000
full_fusion,blur_s1,600,0.764860,0.719494,0.811072,0.196000,0.382000,0.307950,0.474000,0.348000,0.540000
full_fusion,blur_s2,600,0.734060,0.685232,0.783392,0.136000,0.352000,0.259950,0.394000,0.314000,0.524050
full_fusion,blur_s3,600,0.708260,0.656695,0.762551,0.070000,0.242050,0.152000,0.412000,0.242000,0.480000
full_fusion,clean,600,0.774180,0.730198,0.819333,0.260000,0.410000,0.314000,0.494050,0.401950,0.558100
full_fusion,downscale_2x,600,0.765960,0.721710,0.812520,0.202000,0.378050,0.303950,0.470100,0.345950,0.540000
full_fusion,downscale_4x,600,0.734620,0.686700,0.782247,0.159950,0.324000,0.212000,0.428050,0.303950,0.516050
full_fusion,jpeg_q10,600,0.701240,0.647807,0.755726,0.078000,0.254050,0.171950,0.346000,0.244000,0.454050
full_fusion,jpeg_q30,600,0.739960,0.693252,0.786232,0.184000,0.366050,0.232000,0.458000,0.350000,0.540050
full_fusion,jpeg_q50,600,0.752740,0.706398,0.798327,0.236000,0.394050,0.268000,0.468000,0.375950,0.562050
full_fusion,noise_s10,600,0.763100,0.716228,0.808443,0.236000,0.412100,0.300000,0.490050,0.384000,0.590050
full_fusion,noise_s20,600,0.745540,0.698611,0.789762,0.162000,0.356150,0.219950,0.456050,0.360000,0.546050
full_fusion,noise_s5,600,0.762720,0.718397,0.807540,0.255950,0.408000,0.305950,0.492050,0.395950,0.572000
