seed,variant,perturbation,n,auc,eer,tpr1,tpr5,tpr10,ece_raw,ece_platt,platt_a,platt_b
0,backbone_only,blur_s1,600,0.76278,0.31799999999999995,0.324,0.368,0.476,0.05087002436319987,0.033419697284698485,4.631678104400635,-1.9940283298492432
0,backbone_only,blur_s2,600,0.72958,0.33999999999999997,0.178,0.326,0.38,0.06578526124358178,0.057979573756456376,4.631678104400635,-1.9940283298492432
0,backbone_only,blur_s3,600,0.70078,0.35,0.094,0.264,0.364,0.0868343229405582,0.06334739024440447,4.631678104400635,-1.9940283298492432
0,backbone_only,clean,600,0.77078,0.31000000000000005,0.308,0.416,0.494,0.06068095232049624,0.04891708756486575,4.631678104400635,-1.9940283298492432
0,backbone_only,downscale_2x,600,0.7644,0.31999999999999995,0.32,0.368,0.47,0.043398041973511374,0.036916166891654334,4.631678104400635,-1.9940283298492432
0,backbone_only,downscale_4x,600,0.73008,0.34099999999999997,0.208,0.314,0.398,0.057522219965855284,0.05303199137250582,4.631678104400635,-1.9940283298492432
0,backbone_only,jpeg_q10,600,0.6932,0.36,0.128,0.278,0.316,0.2356151403983434,0.1885136341055234,4.631678104400635,-1.9940283298492432
0,backbone_only,jpeg_q30,600,0.7379,0.348,0.218,0.386,0.42,0.2075163523852825,0.17073395212491355,4.631678104400635,-1.9940283298492432
0,backbone_only,jpeg_q50,600,0.75136,0.32999999999999996,0.28,0.384,0.45,0.1843945469458898,0.14962838247418406,4.631678104400635,-1.9940283298492432
0,backbone_only,noise_s10,600,0.75998,0.33099999999999996,0.278,0.412,0.47,0.07382694294055303,0.06131293167670567,4.631678104400635,-1.9940283298492432
0,backbone_only,noise_s20,600,0.74114,0.32099999999999995,0.206,0.368,0.438,0.08243759999672573,0.06894748002290726,4.631678104400635,-1.9940283298492432
0,backbone_only,noise_s5,600,0.7606,0.31799999999999995,0.326,0.396,0.496,0.054842965006828316,0.04221009122828643,4.631678104400635,-1.9940283298492432
0,backbone+rppg,blur_s1,600,0.7596,0.31999999999999995,0.338,0.374,0.442,0.03839053911467393,0.0381492501248916,4.687049388885498,-2.0411596298217773
0,backbone+rppg,blur_s2,600,0.72876,0.33999999999999997,0.18,0.312,0.368,0.06143265167872111,0.06546419595678647,4.687049388885498,-2.0411596298217773
0,backbone+rppg,blur_s3,600,0.70184,0.361,0.094,0.264,0.386,0.08557747623572748,0.07123386840025583,4.687049388885498,-2.0411596298217773
0,backbone+rppg,clean,600,0.76988,0.30000000000000004,0.314,0.392,0.464,0.05408013467987379,0.04409034167726836,4.687049388885498,-2.0411596298217773
0,backbone+rppg,downscale_2x,600,0.7615,0.31999999999999995,0.332,0.364,0.436,0.0440022012591362,0.036973500251770014,4.687049388885498,-2.0411596298217773
0,backbone+rppg,downscale_4x,600,0.72938,0.34199999999999997,0.218,0.32,0.386,0.058245439330736795,0.05953032935659091,4.687049388885498,-2.0411596298217773
0,backbone+rppg,jpeg_q10,600,0.696,0.35,0.122,0.256,0.326,0.21215943748752278,0.16967403123776117,4.687049388885498,-2.0411596298217773
0,backbone+rppg,jpeg_q30,600,0.73742,0.34199999999999997,0.226,0.398,0.424,0.19396826038757958,0.15928431272506713,4.687049388885498,-2.0411596298217773
0,backbone+rppg,jpeg_q50,600,0.75086,0.31999999999999995,0.284,0.402,0.46,0.170520341048638,0.14391087686022125,4.687049388885498,-2.0411596298217773
0,backbone+rppg,noise_s10,600,0.75984,0.32799999999999996,0.284,0.414,0.486,0.06363485277319948,0.05312143231431644,4.687049388885498,-2.0411596298217773
0,backbone+rppg,noise_s20,600,0.74066,0.32099999999999995,0.198,0.376,0.438,0.07403558979431789,0.05222573382159075,4.687049388885498,-2.0411596298217773
0,backbone+rppg,noise_s5,600,0.76014,0.31100000000000005,0.296,0.428,0.498,0.06468604544798534,0.042033427804708486,4.687049388885498,-2.0411596298217773
0,backbone+blink,blur_s1,600,0.76708,0.31199999999999994,0.304,0.38,0.484,0.041414035658041644,0.04485046165684859,4.738384246826172,-2.0748627185821533
0,backbone+blink,blur_s2,600,0.73434,0.33999999999999997,0.174,0.33,0.372,0.06615232224265735,0.06852284582952659,4.738384246826172,-2.0748627185821533
0,backbone+blink,blur_s3,600,0.7087,0.32999999999999996,0.102,0.25,0.402,0.08522539743532737,0.07199434493978818,4.738384246826172,-2.0748627185821533
0,backbone+blink,clean,600,0.77552,0.30000000000000004,0.3,0.442,0.484,0.057440041974186895,0.04225340875486533,4.738384246826172,-2.0748627185821533
0,backbone+blink,downscale_2x,600,0.76826,0.31199999999999994,0.306,0.382,0.486,0.04478067807853222,0.048507598539193474,4.738384246826172,-2.0748627185821533
0,backbone+blink,downscale_4x,600,0.73593,0.32999999999999996,0.214,0.308,0.424,0.05935860152045886,0.06878145560622216,4.738384246826172,-2.0748627185821533
0,backbone+blink,jpeg_q10,600,0.69976,0.35,0.126,0.25,0.346,0.23428867563605305,0.19251898258924488,4.738384246826172,-2.0748627185821533
0,backbone+blink,jpeg_q30,600,0.74068,0.34099999999999997,0.208,0.376,0.416,0.20748579690853755,0.17495312596360843,4.738384246826172,-2.0748627185821533
0,backbone+blink,jpeg_q50,600,0.7537,0.32799999999999996,0.276,0.37,0.442,0.18315774023532866,0.15256666138768196,4.738384246826172,-2.0748627185821533
0,backbone+blink,noise_s10,600,0.7633,0.31899999999999995,0.288,0.4,0.462,0.0747065884557863,0.06278053671121597,4.738384246826172,-2.0748627185821533
0,backbone+blink,noise_s20,600,0.7463,0.32999999999999996,0.202,0.374,0.432,0.08657056018710135,0.0702900991588831,4.738384246826172,-2.0748627185821533
0,backbone+blink,noise_s5,600,0.7642,0.31899999999999995,0.332,0.388,0.488,0.06204735028247038,0.06573339392741522,4.738384246826172,-2.0748627185821533
0,full_fusion,blur_s1,600,0.76486,0.31199999999999994,0.316,0.37,0.464,0.04237362486620744,0.04465902072687944,4.76993465423584,-2.102545976638794
0,full_fusion,blur_s2,600,0.73406,0.33799999999999997,0.172,0.336,0.37,0.06263238261143367,0.06957271168629328,4.76993465423584,-2.102545976638794
0,full_fusion,blur_s3,600,0.70826,0.34199999999999997,0.092,0.244,0.39,0.08514766884346803,0.077280499736468,4.76993465423584,-2.102545976638794
0,full_fusion,clean,600,0.77418,0.30000000000000004,0.308,0.4,0.47,0.0570343138029178,0.03842228971421719,4.76993465423584,-2.102545976638794
0,full_fusion,downscale_2x,600,0.76596,0.31000000000000005,0.32,0.366,0.462,0.04037960683306059,0.043827884060641135,4.76993465423584,-2.102545976638794
0,full_fusion,downscale_4x,600,0.73462,0.33999999999999997,0.22,0.316,0.428,0.05519492213924726,0.06301942701141039,4.76993465423584,-2.102545976638794
0,full_fusion,jpeg_q10,600,0.70124,0.33899999999999997,0.126,0.242,0.338,0.21166144917408625,0.17231849844257038,4.76993465423584,-2.102545976638794
0,full_fusion,jpeg_q30,600,0.73996,0.33999999999999997,0.216,0.35,0.428,0.19438474436601003,0.1620264185965061,4.76993465423584,-2.102545976638794
0,full_fusion,jpeg_q50,600,0.75274,0.32899999999999996,0.274,0.396,0.446,0.1699560855825742,0.14123719568053883,4.76993465423584,-2.102545976638794
0,full_fusion,noise_s10,600,0.7631,0.31000000000000005,0.276,0.398,0.472,0.06441836544622978,0.057637622505426415,4.76993465423584,-2.102545976638794
0,full_fusion,noise_s20,600,0.74554,0.32099999999999995,0.196,0.378,0.434,0.07542966763178507,0.05162435983618101,4.76993465423584,-2.102545976638794
0,full_fusion,noise_s5,600,0.76272,0.31000000000000005,0.322,0.412,0.464,0.05960059141119322,0.042028582394123076,4.76993465423584,-2.102545976638794
1,backbone_only,blur_s1,600,0.75914,0.32999999999999996,0.28,0.358,0.458,0.04202111773192882,0.05532118362685045,4.633212089538574,-1.9480397701263428
1,backbone_only,blur_s2,600,0.72756,0.33999999999999997,0.178,0.324,0.396,0.061498435897131776,0.07217646981279055,4.633212089538574,-1.9480397701263428
1,backbone_only,blur_s3,600,0.69926,0.36,0.108,0.302,0.374,0.08588357801238695,0.07671692882974943,4.633212089538574,-1.9480397701263428
1,backbone_only,clean,600,0.76588,0.31999999999999995,0.304,0.41,0.49,0.05354495753844579,0.050865097492933276,4.633212089538574,-1.9480397701263428
1,backbone_only,downscale_2x,600,0.76104,0.32799999999999996,0.282,0.352,0.464,0.047623914877573656,0.056862177650133766,4.633212089538574,-1.9480397701263428
1,backbone_only,downscale_4x,600,0.72798,0.35,0.194,0.324,0.428,0.05003416403507193,0.06782675777872403,4.633212089538574,-1.9480397701263428
1,backbone_only,jpeg_q10,600,0.69458,0.35,0.178,0.23,0.326,0.18339983542760213,0.13142884594698748,4.633212089538574,-1.9480397701263428
1,backbone_only,jpeg_q30,600,0.73604,0.36,0.24,0.342,0.434,0.19729403048753738,0.15678725481033326,4.633212089538574,-1.9480397701263428
