variant,method,n,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
backbone+blink,ALL,2209,0.532312,0.002569,0.475696,0.002670,0.019175,0.003846,0.061587,0.003506,0.114794,0.003460
backbone+blink,sadtalker_cdf,836,0.487023,0.002009,0.501986,0.004421,0.001821,0.000679,0.052504,0.006491,0.070713,0.006837
backbone+blink,sadtalker_ff,278,0.499317,0.006433,0.487050,0.007881,0.030435,0.003241,0.056522,0.006063,0.144928,0.000000
backbone+blink,simswap_cdf,815,0.534857,0.005743,0.466249,0.005500,0.011912,0.003250,0.074922,0.003574,0.107524,0.004378
backbone+blink,simswap_ff,280,0.573847,0.006123,0.444286,0.005976,0.020000,0.003194,0.052857,0.008144,0.140000,0.012976
backbone+rppg,ALL,2209,0.532993,0.003251,0.467405,0.002648,0.022857,0.004212,0.066159,0.007518,0.118222,0.004739
backbone+rppg,sadtalker_cdf,836,0.491464,0.003531,0.489246,0.002592,0.001517,0.000000,0.059788,0.013124,0.094385,0.008200
backbone+rppg,sadtalker_ff,278,0.497122,0.003833,0.468344,0.003941,0.024638,0.003969,0.055072,0.009722,0.134783,0.012126
backbone+rppg,simswap_cdf,815,0.526649,0.004767,0.469981,0.002665,0.008150,0.002044,0.079624,0.005801,0.118182,0.009950
backbone+rppg,simswap_ff,280,0.561857,0.005429,0.445714,0.003912,0.011429,0.010833,0.047143,0.009583,0.122857,0.009313
backbone_only,ALL,2209,0.533590,0.003927,0.474430,0.001540,0.018667,0.004614,0.062349,0.004696,0.112127,0.003664
backbone_only,sadtalker_cdf,836,0.487349,0.002443,0.501834,0.002894,0.002731,0.001270,0.052200,0.006921,0.074052,0.006293
backbone_only,sadtalker_ff,278,0.502899,0.006804,0.491366,0.009381,0.030435,0.003241,0.060870,0.006481,0.143478,0.003241
backbone_only,simswap_cdf,815,0.538018,0.005551,0.462421,0.004528,0.012539,0.001920,0.075235,0.004702,0.112539,0.005361
backbone_only,simswap_ff,280,0.577071,0.005149,0.440000,0.008144,0.018571,0.003912,0.052857,0.016444,0.145714,0.011952
full_fusion,ALL,2209,0.532997,0.003359,0.467247,0.002304,0.022984,0.004476,0.065651,0.007220,0.118476,0.004458
full_fusion,sadtalker_cdf,836,0.491411,0.003643,0.488377,0.002324,0.001517,0.000000,0.059788,0.012903,0.094385,0.008200
full_fusion,sadtalker_ff,278,0.496988,0.003989,0.468344,0.003941,0.024638,0.003969,0.056522,0.009448,0.134783,0.012126
full_fusion,simswap_cdf,815,0.526602,0.004868,0.469981,0.002665,0.008464,0.002377,0.079937,0.006367,0.118495,0.011061
full_fusion,simswap_ff,280,0.561714,0.005254,0.445714,0.003912,0.011429,0.010833,0.047143,0.009583,0.122857,0.009313
