variant,method,n,auc_mean,auc_std,eer_mean,eer_std,tpr1_mean,tpr1_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
backbone+blink,ALL,2209,0.743475,0.002227,0.333101,0.003344,0.312000,0.020021,0.431365,0.009273,0.503365,0.004587
backbone+blink,sadtalker_cdf,836,0.630404,0.005815,0.417993,0.006436,0.049772,0.002714,0.143247,0.013168,0.257967,0.014436
backbone+blink,sadtalker_ff,278,0.456522,0.005286,0.544607,0.006019,0.026087,0.006481,0.085507,0.020108,0.137681,0.011458
backbone+blink,simswap_cdf,815,0.935342,0.001895,0.142346,0.005645,0.464890,0.007402,0.716928,0.012811,0.819436,0.006009
backbone+blink,simswap_ff,280,0.780010,0.002162,0.315714,0.005976,0.342857,0.027199,0.495714,0.016444,0.532857,0.010833
backbone+rppg,ALL,2209,0.747055,0.002401,0.332468,0.002109,0.305905,0.022441,0.435175,0.009975,0.508825,0.003495
backbone+rppg,sadtalker_cdf,836,0.633720,0.007494,0.415345,0.004409,0.056146,0.009105,0.157511,0.011172,0.265554,0.013185
backbone+rppg,sadtalker_ff,278,0.466159,0.006439,0.537412,0.006019,0.028986,0.007246,0.101449,0.022335,0.139130,0.011907
backbone+rppg,simswap_cdf,815,0.936555,0.002798,0.142033,0.006435,0.488715,0.019589,0.730721,0.015493,0.821317,0.010338
backbone+rppg,simswap_ff,280,0.782837,0.002431,0.315714,0.005976,0.361429,0.042137,0.505714,0.013740,0.538571,0.006389
backbone_only,ALL,2209,0.745562,0.001752,0.330854,0.002655,0.310349,0.022824,0.427937,0.009002,0.504127,0.004939
backbone_only,sadtalker_cdf,836,0.631942,0.006127,0.415497,0.002345,0.051290,0.004846,0.141426,0.012063,0.256146,0.011426
backbone_only,sadtalker_ff,278,0.461853,0.007284,0.543168,0.011376,0.027536,0.007938,0.089855,0.016682,0.139130,0.006063
backbone_only,simswap_cdf,815,0.935443,0.002578,0.141311,0.007921,0.472727,0.015580,0.711912,0.012705,0.815047,0.006921
backbone_only,simswap_ff,280,0.782051,0.002011,0.317143,0.008144,0.351429,0.017786,0.502857,0.013924,0.541429,0.005976
full_fusion,ALL,2209,0.745225,0.001259,0.333228,0.002126,0.313905,0.014751,0.440254,0.015109,0.504635,0.004476
full_fusion,sadtalker_cdf,836,0.632093,0.005765,0.413760,0.002675,0.054932,0.005916,0.162671,0.019056,0.255539,0.009016
full_fusion,sadtalker_ff,278,0.462712,0.005574,0.541729,0.006019,0.026087,0.006481,0.098551,0.021496,0.139130,0.013939
full_fusion,simswap_cdf,815,0.936477,0.002194,0.141468,0.006665,0.483072,0.028374,0.733229,0.024718,0.819122,0.014176
full_fusion,simswap_ff,280,0.780296,0.002892,0.315714,0.005976,0.360000,0.033350,0.501429,0.009313,0.534286,0.003194
