seed,variant,method,n,auc,ap,eer,tpr1,tpr5,tpr10
0,backbone_only,ALL,2209,0.7432136598067197,0.8940848741763687,0.3295884031846177,0.3352380952380952,0.43238095238095237,0.5041269841269841
0,backbone_only,sadtalker_cdf,836,0.6253868641924505,0.8638413123007023,0.4176890169148598,0.048558421851289835,0.13201820940819423,0.23975720789074356
0,backbone_only,sadtalker_ff,278,0.45025879917184264,0.4971194622923105,0.5575569358178054,0.036231884057971016,0.07246376811594203,0.13768115942028986
0,backbone_only,simswap_cdf,815,0.9363122752953261,0.9813779588316489,0.1359784283513097,0.4717868338557994,0.7021943573667712,0.8119122257053292
0,backbone_only,simswap_ff,280,0.7794897959183673,0.8213964747966495,0.3214285714285714,0.37857142857142856,0.4928571428571429,0.5357142857142857
0,backbone+rppg,ALL,2209,0.7446597566471383,0.8945164237986423,0.33132942767012163,0.31936507936507935,0.43238095238095237,0.506031746031746
0,backbone+rppg,sadtalker_cdf,836,0.6271272172354964,0.8646074513336282,0.4176890169148598,0.051593323216995446,0.14871016691957512,0.2488619119878604
0,backbone+rppg,sadtalker_ff,278,0.4571946169772257,0.5006190639367369,0.5431677018633541,0.036231884057971016,0.07971014492753623,0.13768115942028986
0,backbone+rppg,simswap_cdf,815,0.9362768538689052,0.9812866782141662,0.14115438428705523,0.4827586206896552,0.7178683385579937,0.8150470219435737
0,backbone+rppg,simswap_ff,280,0.7801530612244898,0.8213969946704256,0.3214285714285714,0.4,0.5,0.5357142857142857
0,backbone+blink,ALL,2209,0.7425426868959992,0.8937881313993878,0.328164839016574,0.3403174603174603,0.43746031746031744,0.49714285714285716
0,backbone+blink,sadtalker_cdf,836,0.6257469372358393,0.8641259583121448,0.4169302915734334,0.05007587253414264,0.12898330804248861,0.23823975720789076
0,backbone+blink,sadtalker_ff,278,0.44875776397515527,0.4959165360571895,0.5431677018633541,0.036231884057971016,0.07246376811594203,0.12318840579710146
0,backbone+blink,simswap_cdf,815,0.9355684253404885,0.9811890211305853,0.1419380833466164,0.47648902821316613,0.7084639498432602,0.8119122257053292
0,backbone+blink,simswap_ff,280,0.7766326530612245,0.8192435971169798,0.3214285714285714,0.38571428571428573,0.4857142857142857,0.5214285714285715
0,full_fusion,ALL,2209,0.7438926443342847,0.8942624445886902,0.3327529918381653,0.326984126984127,0.43936507936507935,0.506031746031746
0,full_fusion,sadtalker_cdf,836,0.6272215220801934,0.8646758298526713,0.4133467074749449,0.054628224582701064,0.14871016691957512,0.24279210925644917
0,full_fusion,sadtalker_ff,278,0.45445134575569357,0.49968466584634447,0.5431677018633541,0.036231884057971016,0.07246376811594203,0.12318840579710146
0,full_fusion,simswap_cdf,815,0.9358783628216708,0.9812523403119222,0.1359784283513097,0.4952978056426332,0.7225705329153606,0.8119122257053292
0,full_fusion,simswap_ff,280,0.7775,0.8195615449729077,0.3214285714285714,0.4,0.4928571428571429,0.5285714285714286
1,backbone_only,ALL,2209,0.7475619648490311,0.8948653843342286,0.328164839016574,0.3003174603174603,0.4126984126984127,0.5104761904761905
1,backbone_only,sadtalker_cdf,836,0.6354603362396372,0.8676936942675664,0.4125879821335185,0.054628224582701064,0.15933232169954475,0.26251896813353565
1,backbone_only,sadtalker_ff,278,0.46469979296066255,0.5023452926496896,0.5431677018633541,0.021739130434782608,0.09420289855072464,0.14492753623188406
1,backbone_only,simswap_cdf,815,0.934709455749783,0.9806798290905296,0.14711403928236189,0.49216300940438873,0.725705329153605,0.8150470219435737
1,backbone_only,simswap_ff,280,0.7807142857142857,0.8187694258028441,0.3285714285714286,0.3357142857142857,0.4928571428571429,0.5357142857142857
1,backbone+rppg,ALL,2209,0.7479605427870412,0.8953924158060662,0.33449401632366926,0.3028571428571429,0.41968253968253966,0.5136507936507937
1,backbone+rppg,sadtalker_cdf,836,0.6352974460533423,0.8681401140191667,0.4169302915734334,0.06069802731411229,0.14871016691957512,0.2716236722306525
1,backbone+rppg,sadtalker_ff,278,0.4671325051759834,0.5061629094078397,0.5431677018633541,0.021739130434782608,0.11594202898550725,0.13768115942028986
1,backbone+rppg,simswap_cdf,815,0.9366399234897189,0.9813602177059202,0.14115438428705523,0.5109717868338558,0.7210031347962382,0.8197492163009404
1,backbone+rppg,simswap_ff,280,0.7811734693877551,0.8198628743273986,0.3214285714285714,0.32857142857142857,0.5,0.5428571428571428
1,backbone+blink,ALL,2209,0.7403074457964048,0.8919466708680936,0.3373411446597567,0.28444444444444444,0.41523809523809524,0.5022222222222222
1,backbone+blink,sadtalker_cdf,836,0.6277959243160756,0.8649784979089845,0.4184477422562862,0.04552352048558422,0.15629742033383914,0.2534142640364188
1,backbone+blink,sadtalker_ff,278,0.45527950310559007,0.4970178661768048,0.5503623188405797,0.021739130434782608,0.07971014492753623,0.15217391304347827
1,backbone+blink,simswap_cdf,815,0.9354355949914103,0.9810473998039418,0.14115438428705523,0.46551724137931033,0.7288401253918495,0.822884012539185
1,backbone+blink,simswap_ff,280,0.7814795918367347,0.819783722537383,0.3214285714285714,0.3142857142857143,0.4785714285714286,0.5428571428571428
1,full_fusion,ALL,2209,0.7464583646287116,0.8947517260997527,0.33449401632366926,0.30158730158730157,0.41968253968253966,0.5079365079365079
1,full_fusion,sadtalker_cdf,836,0.6341572147492777,0.8678639310589522,0.4118292567920921,0.06525037936267071,0.1426403641881639,0.2503793626707132
1,full_fusion,sadtalker_ff,278,0.4643374741200828,0.5040389307353859,0.5503623188405797,0.021739130434782608,0.10144927536231885,0.14492753623188406
1,full_fusion,simswap_cdf,815,0.9362060110160636,0.9812576278921201,0.1419380833466164,0.5172413793103449,0.7068965517241379,0.8087774294670846
1,full_fusion,simswap_ff,280,0.7780612244897959,0.8176034431610559,0.3214285714285714,0.3357142857142857,0.5,0.5357142857142857
42,backbone_only,ALL,2209,0.7448139802713936,0.8946282800464145,0.3292709428671574,0.3053968253968254,0.42984126984126986,0.5073015873015873
42,backbone_only,sadtalker_cdf,836,0.6252582666769545,0.8644389173830754,0.4169302915734334,0.05007587253414264,0.12898330804248861,0.2488619119878604
42,backbone_only,sadtalker_ff,278,0.4659937888198758,0.5001346475197022,0.5503623188405797,0.021739130434782608,0.07246376811594203,0.13043478260869565
42,backbone_only,simswap_cdf,815,0.938455271593787,0.9820660956024783,0.13441103023218742,0.4561128526645768,0.725705329153605,0.8260188087774295
42,backbone_only,simswap_ff,280,0.7834183673469388,0.8237302660052457,0.3142857142857143,0.3357142857142857,0.4928571428571429,0.5428571428571428
42,backbone+rppg,ALL,2209,0.7452806569525813,0.8950124051660655,0.3295884031846177,0.3003174603174603,0.4361904761904762,0.5111111111111111
42,backbone+rppg,sadtalker_cdf,836,0.6252839861800537,0.8651408070895753,0.4169302915734334,0.051593323216995446,0.15781487101669195,0.2549317147192716
42,backbone+rppg,sadtalker_ff,278,0.4706004140786749,0.5051346521443285,0.5359730848861284,0.021739130434782608,0.07971014492753623,0.13043478260869565
42,backbone+rppg,simswap_cdf,815,0.9398455625808051,0.9825568811482643,0.13441103023218742,0.46394984326018807,0.7476489028213166,0.8385579937304075
42,backbone+rppg,simswap_ff,280,0.7851020408163265,0.8251506315832537,0.30714285714285716,0.3357142857142857,0.4928571428571429,0.5285714285714286
42,backbone+blink,ALL,2209,0.743484051875219,0.8940043045024026,0.3330704521556257,0.30793650793650795,0.43238095238095237,0.5098412698412699
42,backbone+blink,sadtalker_cdf,836,0.6254811690371476,0.8646046181646646,0.4125879821335185,0.05007587253414264,0.13960546282245828,0.2549317147192716
42,backbone+blink,sadtalker_ff,278,0.46335403726708074,0.49667541140946936,0.5503623188405797,0.021739130434782608,0.06521739130434782,0.13043478260869565
42,backbone+blink,simswap_cdf,815,0.9375963020030816,0.9818619985526447,0.1359784283513097,0.46238244514106586,0.7272727272727273,0.8275862068965517
42,backbone+blink,simswap_ff,280,0.7796428571428572,0.8210087380713679,0.3142857142857143,0.3357142857142857,0.4928571428571429,0.5428571428571428
42,full_fusion,ALL,2209,0.7440008011616844,0.8944923093502988,0.33132942767012163,0.3028571428571429,0.4361904761904762,0.5079365079365079
42,full_fusion,sadtalker_cdf,836,0.6247695961180697,0.8650667667953225,0.4125879821335185,0.051593323216995446,0.18361153262518967,0.25796661608497723
42,full_fusion,sadtalker_ff,278,0.4680124223602484,0.5026850743569782,0.5359730848861284,0.021739130434782608,0.08695652173913043,0.13768115942028986
42,full_fusion,simswap_cdf,815,0.9393939393939394,0.9824631803363147,0.1359784283513097,0.47492163009404387,0.7633228840125392,0.841692789968652
42,full_fusion,simswap_ff,280,0.7823469387755102,0.8231912815835796,0.3142857142857143,0.3357142857142857,0.4928571428571429,0.5357142857142857
1337,backbone_only,ALL,2209,0.7452165640178259,0.8932836130363092,0.33449401632366926,0.28,0.42857142857142855,0.4984126984126984
1337,backbone_only,sadtalker_cdf,836,0.6355975069228329,0.8667560621932211,0.4133467074749449,0.057663125948406675,0.1411229135053111,0.26251896813353565
1337,backbone_only,sadtalker_ff,278,0.46873706004140786,0.5123052944986931,0.5287784679089027,0.036231884057971016,0.10869565217391304,0.13768115942028986
1337,backbone_only,simswap_cdf,815,0.9314949613020916,0.9795495286657527,0.15228999521810743,0.4843260188087774,0.700626959247649,0.8072100313479624
1337,backbone_only,simswap_ff,280,0.7844897959183673,0.8228156380680184,0.3142857142857143,0.35714285714285715,0.5142857142857142,0.55
1337,backbone+rppg,ALL,2209,0.7506905012267788,0.8955179547468778,0.33449401632366926,0.27365079365079364,0.4438095238095238,0.5079365079365079
1337,backbone+rppg,sadtalker_cdf,836,0.6433647968587913,0.8697348663015552,0.40748694735217716,0.06980273141122914,0.15629742033383914,0.28072837632776937
1337,backbone+rppg,sadtalker_ff,278,0.47334368530020704,0.5183194058991595,0.5287784679089027,0.036231884057971016,0.13043478260869565,0.15942028985507245
1337,backbone+rppg,simswap_cdf,815,0.9322122451871137,0.9797858501182737,0.15228999521810743,0.5062695924764891,0.719435736677116,0.8119122257053292
1337,backbone+rppg,simswap_ff,280,0.7856632653061224,0.8224769608792537,0.3142857142857143,0.32857142857142857,0.5285714285714286,0.5428571428571428
1337,backbone+blink,ALL,2209,0.7449922387461819,0.8939972178591389,0.33243553152070504,0.31047619047619046,0.4342857142857143,0.5047619047619047
1337,backbone+blink,sadtalker_cdf,836,0.6344658487864682,0.8678490780269157,0.428649811818969,0.05311077389984825,0.13353566009104703,0.27617602427921095
1337,backbone+blink,sadtalker_ff,278,0.4582815734989648,0.5031073296258561,0.5431677018633541,0.028985507246376812,0.11594202898550725,0.14492753623188406
1337,backbone+blink,simswap_cdf,815,0.9323362201795866,0.980017438748128,0.15150629615854633,0.4561128526645768,0.6990595611285266,0.8166144200626959
1337,backbone+blink,simswap_ff,280,0.7822448979591837,0.8211780085010998,0.3142857142857143,0.35,0.5,0.5214285714285715
1337,full_fusion,ALL,2209,0.746464373341345,0.8944606216665367,0.33132942767012163,0.3053968253968254,0.4615873015873016,0.5041269841269841
1337,full_fusion,sadtalker_cdf,836,0.6371492502764846,0.8688869910215042,0.4184477422562862,0.051593323216995446,0.15629742033383914,0.26100151745068284
1337,full_fusion,sadtalker_ff,278,0.4668737060041408,0.5139162018715767,0.5359730848861284,0.028985507246376812,0.13043478260869565,0.15942028985507245
1337,full_fusion,simswap_cdf,815,0.9334254290420275,0.9802958202822879,0.15228999521810743,0.44043887147335425,0.7178683385579937,0.8087774294670846
1337,full_fusion,simswap_ff,280,0.7842346938775511,0.821960747900697,0.30714285714285716,0.3357142857142857,0.5071428571428571,0.5357142857142857
2024,backbone_only,ALL,2209,0.7470051574783436,0.8952743033166015,0.3327529918381653,0.3307936507936508,0.4361904761904762,0.5003174603174603
2024,backbone_only,sadtalker_cdf,836,0.638006567046458,0.8692307159131476,0.4169302915734334,0.04552352048558422,0.1456752655538695,0.26707132018209406
2024,backbone_only,sadtalker_ff,278,0.45957556935817806,0.5028804741785106,0.5359730848861284,0.021739130434782608,0.10144927536231885,0.14492753623188406
2024,backbone_only,simswap_cdf,815,0.9362414324424845,0.9812411124763409,0.13676212741087085,0.4592476489028213,0.7053291536050157,0.8150470219435737
2024,backbone_only,simswap_ff,280,0.7821428571428571,0.8242627404294172,0.30714285714285716,0.35,0.5214285714285715,0.5428571428571428
2024,backbone+rppg,ALL,2209,0.7466846928045666,0.8953539363664773,0.33243553152070504,0.3333333333333333,0.4438095238095238,0.5053968253968254
2024,backbone+rppg,sadtalker_cdf,836,0.6375264696552729,0.8698032057913789,0.4176890169148598,0.04704097116843703,0.17602427921092564,0.2716236722306525
2024,backbone+rppg,sadtalker_ff,278,0.46252587991718425,0.5043298866153221,0.5359730848861284,0.028985507246376812,0.10144927536231885,0.13043478260869565
2024,backbone+rppg,simswap_cdf,815,0.9377999752050015,0.981766140062215,0.14115438428705523,0.47962382445141066,0.7476489028213166,0.8213166144200627
2024,backbone+rppg,simswap_ff,280,0.7820918367346938,0.8253583307791512,0.3142857142857143,0.4142857142857143,0.5071428571428571,0.5428571428571428
2024,backbone+blink,ALL,2209,0.746049772169646,0.8948687030312324,0.33449401632366926,0.31682539682539684,0.43746031746031744,0.5028571428571429
2024,backbone+blink,sadtalker_cdf,836,0.6385295302761417,0.8695318503970286,0.4133467074749449,0.05007587253414264,0.15781487101669195,0.26707132018209406
2024,backbone+blink,sadtalker_ff,278,0.456935817805383,0.4998561096149382,0.5359730848861284,0.021739130434782608,0.09420289855072464,0.13768115942028986
2024,backbone+blink,simswap_cdf,815,0.9357720985424083,0.9811393084123435,0.14115438428705523,0.46394984326018807,0.7210031347962382,0.8181818181818182
2024,backbone+blink,simswap_ff,280,0.7800510204081633,0.8224964797576744,0.30714285714285716,0.32857142857142857,0.5214285714285715,0.5357142857142857
2024,full_fusion,ALL,2209,0.7453086976115367,0.8948065768142,0.3362350408091733,0.3326984126984127,0.4444444444444444,0.49714285714285716
2024,full_fusion,sadtalker_cdf,836,0.6371663966118841,0.8696884276914043,0.4125879821335185,0.051593323216995446,0.18209408194233687,0.26555386949924126
2024,full_fusion,sadtalker_ff,278,0.45988612836438925,0.502284766463292,0.5431677018633541,0.021739130434782608,0.10144927536231885,0.13043478260869565
2024,full_fusion,simswap_cdf,815,0.9374811823672139,0.981728725135478,0.14115438428705523,0.48746081504702193,0.7554858934169278,0.8244514106583072
2024,full_fusion,simswap_ff,280,0.7793367346938775,0.8233546974992098,0.3142857142857143,0.39285714285714285,0.5142857142857142,0.5357142857142857
