variant,split,n,auc_mean,auc_std,ece_raw_mean,ece_raw_std,ece_platt_mean,ece_platt_std,delta_ece
backbone+blink,celebdf_test,1306,0.615207,0.005656,0.024974,0.003313,0.030886,0.002757,0.005912
backbone+blink,dfdc_test,77,0.577686,0.009726,0.108682,0.019927,0.123704,0.008629,0.015022
backbone+blink,ff_test,600,0.730112,0.002273,0.059789,0.002167,0.044409,0.003376,-0.015380
backbone+rppg,celebdf_test,1306,0.640477,0.004955,0.020743,0.002944,0.032927,0.004542,0.012184
backbone+rppg,dfdc_test,77,0.610248,0.015234,0.090194,0.022314,0.123041,0.006515,0.032848
backbone+rppg,ff_test,600,0.727996,0.001553,0.053901,0.010349,0.049626,0.004337,-0.004275
backbone_only,celebdf_test,1306,0.614558,0.006794,0.024014,0.003549,0.030679,0.003196,0.006665
backbone_only,dfdc_test,77,0.593554,0.008085,0.064546,0.021087,0.124805,0.008116,0.060259
backbone_only,ff_test,600,0.733008,0.001232,0.062191,0.004771,0.047034,0.002985,-0.015157
full_fusion,celebdf_test,1306,0.641158,0.005032,0.021196,0.002289,0.032812,0.004665,0.011616
full_fusion,dfdc_test,77,0.614876,0.013313,0.099272,0.018327,0.116740,0.005088,0.017468
full_fusion,ff_test,600,0.728070,0.001555,0.050133,0.009610,0.047700,0.002021,-0.002433
