variant,split,n,auc_mean,auc_std,ece_raw_mean,ece_raw_std,ece_platt_mean,ece_platt_std,delta_ece
backbone+blink,celebdf_test,1306,0.974785,0.000802,0.043843,0.001681,0.086987,0.001244,0.043145
backbone+blink,dfdc_test,77,0.847603,0.006704,0.125148,0.011486,0.143085,0.021545,0.017937
backbone+blink,ff_test,600,0.774672,0.002232,0.056515,0.006368,0.041757,0.005772,-0.014758
backbone+rppg,celebdf_test,1306,0.972953,0.001800,0.044435,0.002872,0.089951,0.001434,0.045516
backbone+rppg,dfdc_test,77,0.830083,0.009666,0.119439,0.013515,0.132924,0.015866,0.013484
backbone+rppg,ff_test,600,0.769896,0.002332,0.052828,0.008233,0.040360,0.003847,-0.012468
backbone_only,celebdf_test,1306,0.973819,0.001639,0.045260,0.002284,0.088617,0.001522,0.043357
backbone_only,dfdc_test,77,0.833884,0.005259,0.135250,0.014380,0.134172,0.026690,-0.001077
backbone_only,ff_test,600,0.768876,0.002949,0.052926,0.009196,0.045975,0.004922,-0.006951
full_fusion,celebdf_test,1306,0.973587,0.001166,0.042746,0.001970,0.087820,0.002000,0.045074
full_fusion,dfdc_test,77,0.842645,0.008379,0.116344,0.025805,0.140932,0.020011,0.024588
full_fusion,ff_test,600,0.774036,0.002040,0.060038,0.010596,0.042541,0.006103,-0.017498
