variant,split,n,auc_mean,auc_std,ece_raw_mean,ece_raw_std,ece_platt_mean,ece_platt_std,delta_ece
backbone+blink,celebdf_test,1306,0.814797,0.030331,0.053227,0.010483,0.070508,0.011392,0.017281
backbone+blink,dfdc_test,77,0.698017,0.017547,0.120747,0.029867,0.111067,0.025119,-0.009680
backbone+blink,ff_test,600,0.583120,0.013014,0.041540,0.013156,0.020808,0.006332,-0.020733
backbone+rppg,celebdf_test,1306,0.817694,0.030579,0.053537,0.009200,0.073072,0.013289,0.019536
backbone+rppg,dfdc_test,77,0.695372,0.012637,0.104017,0.026696,0.103140,0.019039,-0.000877
backbone+rppg,ff_test,600,0.580584,0.012295,0.042876,0.015162,0.019286,0.005030,-0.023590
backbone_only,celebdf_test,1306,0.816862,0.030049,0.053472,0.010731,0.071828,0.012037,0.018356
backbone_only,dfdc_test,77,0.686281,0.014952,0.114363,0.026947,0.105064,0.026394,-0.009299
backbone_only,ff_test,600,0.576288,0.012969,0.044923,0.011463,0.021772,0.006401,-0.023151
full_fusion,celebdf_test,1306,0.816161,0.030095,0.052665,0.009978,0.074034,0.013963,0.021370
full_fusion,dfdc_test,77,0.704628,0.013308,0.109515,0.020866,0.107425,0.011776,-0.002090
full_fusion,ff_test,600,0.586228,0.012519,0.037932,0.015348,0.020191,0.002428,-0.017741
