seed,variant,split,n,auc,ap,eer,tpr5
0,backbone_only,ff_c23_test,600,0.73304,0.9221468934582808,0.30900000000000005,0.266
0,backbone_only,ff_c40_test,600,0.69982,0.9107333889753392,0.36,0.206
0,backbone+rppg,ff_c23_test,600,0.72694,0.9220604995521462,0.33199999999999996,0.216
0,backbone+rppg,ff_c40_test,600,0.69622,0.9082182182551493,0.36,0.148
0,backbone+blink,ff_c23_test,600,0.72894,0.9218655182199842,0.31000000000000005,0.234
0,backbone+blink,ff_c40_test,600,0.70042,0.9112748792026032,0.361,0.22
0,full_fusion,ff_c23_test,600,0.7281,0.9228655580925159,0.33099999999999996,0.22
0,full_fusion,ff_c40_test,600,0.69606,0.9076605701152834,0.36,0.146
1,backbone_only,ff_c23_test,600,0.73408,0.9217006330773392,0.31999999999999995,0.276
1,backbone_only,ff_c40_test,600,0.69768,0.9109215625688485,0.37,0.238
1,backbone+rppg,ff_c23_test,600,0.72838,0.9215902840693624,0.32199999999999995,0.238
1,backbone+rppg,ff_c40_test,600,0.69418,0.9078781667434974,0.36,0.164
1,backbone+blink,ff_c23_test,600,0.72814,0.9213959356356303,0.32999999999999996,0.27
1,backbone+blink,ff_c40_test,600,0.69454,0.9098552513357078,0.36,0.228
1,full_fusion,ff_c23_test,600,0.72987,0.9220993949779002,0.31999999999999995,0.24
1,full_fusion,ff_c40_test,600,0.69412,0.9077722562892868,0.36,0.164
42,backbone_only,ff_c23_test,600,0.7337,0.9226217866043106,0.32899999999999996,0.278
42,backbone_only,ff_c40_test,600,0.69864,0.9117612407048035,0.37,0.226
42,backbone+rppg,ff_c23_test,600,0.72862,0.923636532468184,0.31999999999999995,0.22
42,backbone+rppg,ff_c40_test,600,0.69938,0.9107844270092138,0.358,0.182
42,backbone+blink,ff_c23_test,600,0.73318,0.9231082678054081,0.31999999999999995,0.276
42,backbone+blink,ff_c40_test,600,0.69888,0.912071088938427,0.37,0.23
42,full_fusion,ff_c23_test,600,0.72832,0.9233735132110733,0.31999999999999995,0.218
42,full_fusion,ff_c40_test,600,0.69938,0.9107791215672678,0.358,0.182
1337,backbone_only,ff_c23_test,600,0.73092,0.9209243506109102,0.32999999999999996,0.274
1337,backbone_only,ff_c40_test,600,0.69812,0.9107401669746201,0.362,0.234
1337,backbone+rppg,ff_c23_test,600,0.73002,0.9229455981004682,0.31999999999999995,0.224
1337,backbone+rppg,ff_c40_test,600,0.69564,0.9088794075233563,0.362,0.148
1337,backbone+blink,ff_c23_test,600,0.72842,0.9213499813526302,0.33099999999999996,0.252
1337,backbone+blink,ff_c40_test,600,0.69834,0.910927729271408,0.36,0.222
1337,full_fusion,ff_c23_test,600,0.72848,0.9227929243923169,0.31999999999999995,0.218
1337,full_fusion,ff_c40_test,600,0.69546,0.9087303753169705,0.361,0.146
2024,backbone_only,ff_c23_test,600,0.7333,0.9219442086038923,0.32099999999999995,0.266
2024,backbone_only,ff_c40_test,600,0.69654,0.9110381610497006,0.37,0.218
2024,backbone+rppg,ff_c23_test,600,0.72602,0.9228566783266773,0.32999999999999996,0.222
2024,backbone+rppg,ff_c40_test,600,0.69714,0.9091207225907874,0.37,0.162
2024,backbone+blink,ff_c23_test,600,0.73188,0.9221694050716933,0.31999999999999995,0.248
2024,backbone+blink,ff_c40_test,600,0.69734,0.9114161439505497,0.37,0.242
2024,full_fusion,ff_c23_test,600,0.72558,0.9230066946284865,0.33099999999999996,0.216
2024,full_fusion,ff_c40_test,600,0.697,0.9090656943149589,0.37,0.162
