seed,variant,split,n,auc,ap,eer,tpr5
0,backbone_only,ff_c23_test,600,0.77078,0.9465635227345545,0.31000000000000005,0.416
0,backbone_only,ff_c40_test,600,0.73558,0.9355293257263821,0.32999999999999996,0.322
0,backbone+rppg,ff_c23_test,600,0.76988,0.9460294348857037,0.30000000000000004,0.392
0,backbone+rppg,ff_c40_test,600,0.73544,0.9352496233978399,0.33999999999999997,0.3
0,backbone+blink,ff_c23_test,600,0.77552,0.9475207879387195,0.30000000000000004,0.442
0,backbone+blink,ff_c40_test,600,0.7339,0.9352236040025457,0.348,0.334
0,full_fusion,ff_c23_test,600,0.77418,0.9468060030997818,0.30000000000000004,0.4
0,full_fusion,ff_c40_test,600,0.73426,0.935102427180349,0.35,0.298
1,backbone_only,ff_c23_test,600,0.76588,0.945211315649408,0.31999999999999995,0.41
1,backbone_only,ff_c40_test,600,0.73364,0.9351510001503169,0.359,0.302
1,backbone+rppg,ff_c23_test,600,0.76796,0.9455237292159251,0.31999999999999995,0.408
1,backbone+rppg,ff_c40_test,600,0.73506,0.9355680780546957,0.35,0.304
1,backbone+blink,ff_c23_test,600,0.77554,0.9471795461259296,0.31999999999999995,0.398
1,backbone+blink,ff_c40_test,600,0.73252,0.9346190112820433,0.351,0.316
1,full_fusion,ff_c23_test,600,0.77404,0.9469194524810469,0.30000000000000004,0.406
1,full_fusion,ff_c40_test,600,0.73362,0.9353389148382865,0.36,0.31
42,backbone_only,ff_c23_test,600,0.76682,0.9456102726194344,0.31899999999999995,0.426
42,backbone_only,ff_c40_test,600,0.73136,0.9348497126022671,0.34099999999999997,0.344
42,backbone+rppg,ff_c23_test,600,0.76906,0.9460016020219635,0.31000000000000005,0.432
42,backbone+rppg,ff_c40_test,600,0.73284,0.9352518712248888,0.33999999999999997,0.348
42,backbone+blink,ff_c23_test,600,0.77074,0.946366711359589,0.30200000000000005,0.428
42,backbone+blink,ff_c40_test,600,0.72944,0.9344829687309798,0.349,0.352
42,full_fusion,ff_c23_test,600,0.77206,0.9464362644563691,0.29100000000000004,0.446
42,full_fusion,ff_c40_test,600,0.7309,0.9348884697752005,0.33999999999999997,0.362
1337,backbone_only,ff_c23_test,600,0.7679,0.9457338251176648,0.31999999999999995,0.418
1337,backbone_only,ff_c40_test,600,0.7331,0.9344016833884332,0.33099999999999996,0.292
1337,backbone+rppg,ff_c23_test,600,0.7687,0.9457179796369348,0.31999999999999995,0.422
1337,backbone+rppg,ff_c40_test,600,0.73504,0.9346238483524534,0.32999999999999996,0.294
1337,backbone+blink,ff_c23_test,600,0.77526,0.9473993205085146,0.30200000000000005,0.422
1337,backbone+blink,ff_c40_test,600,0.7336,0.9344920474608209,0.34099999999999997,0.344
1337,full_fusion,ff_c23_test,600,0.7726,0.9464229216645154,0.30000000000000004,0.412
1337,full_fusion,ff_c40_test,600,0.7319,0.9337029724596002,0.33899999999999997,0.344
2024,backbone_only,ff_c23_test,600,0.773,0.9468965462593739,0.31100000000000005,0.402
2024,backbone_only,ff_c40_test,600,0.73476,0.9348049083279378,0.32999999999999996,0.31
2024,backbone+rppg,ff_c23_test,600,0.77388,0.9468138692348765,0.31000000000000005,0.406
2024,backbone+rppg,ff_c40_test,600,0.73558,0.9350144974914749,0.32999999999999996,0.322
2024,backbone+blink,ff_c23_test,600,0.7763,0.9475825206624324,0.31000000000000005,0.422
2024,backbone+blink,ff_c40_test,600,0.73324,0.9346175565104051,0.32999999999999996,0.316
2024,full_fusion,ff_c23_test,600,0.7773,0.9476001421058062,0.30000000000000004,0.404
2024,full_fusion,ff_c40_test,600,0.73358,0.9346979385148296,0.33099999999999996,0.326
