variant,perturbation,n,auc_mean,auc_std,eer_mean,eer_std,tpr5_mean,tpr5_std
backbone+blink,blur_s1,600,0.765104,0.001483,0.306800,0.005404,0.380800,0.013161
backbone+blink,blur_s2,600,0.732196,0.001881,0.337800,0.007759,0.314800,0.014533
backbone+blink,blur_s3,600,0.704228,0.002637,0.352200,0.013008,0.264000,0.015811
backbone+blink,clean,600,0.774672,0.002232,0.306800,0.008319,0.422400,0.015900
backbone+blink,downscale_2x,600,0.766668,0.001492,0.308600,0.007733,0.380000,0.013342
backbone+blink,downscale_4x,600,0.733394,0.002108,0.334600,0.005459,0.313600,0.027979
backbone+blink,jpeg_q10,600,0.701868,0.002177,0.346000,0.005050,0.242800,0.012133
backbone+blink,jpeg_q30,600,0.741464,0.000861,0.328600,0.008562,0.368400,0.014926
backbone+blink,jpeg_q50,600,0.754692,0.001765,0.318000,0.011916,0.374400,0.015710
backbone+blink,noise_s10,600,0.763036,0.001104,0.314000,0.010320,0.380800,0.015531
backbone+blink,noise_s20,600,0.744452,0.001211,0.330600,0.006066,0.350400,0.013957
backbone+blink,noise_s5,600,0.762840,0.001315,0.316400,0.004506,0.384400,0.013221
backbone+rppg,blur_s1,600,0.759824,0.001073,0.319800,0.010640,0.377200,0.012696
backbone+rppg,blur_s2,600,0.728056,0.000858,0.342400,0.004336,0.319200,0.006723
backbone+rppg,blur_s3,600,0.699488,0.002349,0.361800,0.003493,0.272800,0.010060
backbone+rppg,clean,600,0.769896,0.002332,0.312000,0.008367,0.412000,0.015427
backbone+rppg,downscale_2x,600,0.761864,0.001231,0.318400,0.004775,0.372800,0.016037
backbone+rppg,downscale_4x,600,0.728616,0.000657,0.342800,0.008786,0.316800,0.016037
backbone+rppg,jpeg_q10,600,0.698428,0.002076,0.354000,0.011402,0.253600,0.006841
backbone+rppg,jpeg_q30,600,0.738516,0.001684,0.340400,0.001140,0.358000,0.023367
backbone+rppg,jpeg_q50,600,0.752336,0.001185,0.324000,0.007874,0.395600,0.021790
backbone+rppg,noise_s10,600,0.759376,0.001392,0.322000,0.011576,0.377600,0.024347
backbone+rppg,noise_s20,600,0.740564,0.000993,0.332400,0.007701,0.353200,0.012853
backbone+rppg,noise_s5,600,0.758880,0.002512,0.318400,0.008503,0.400000,0.024042
backbone_only,blur_s1,600,0.760036,0.001594,0.321400,0.008295,0.372800,0.010640
backbone_only,blur_s2,600,0.727844,0.001361,0.341600,0.004722,0.328000,0.006782
backbone_only,blur_s3,600,0.698308,0.001878,0.360000,0.007071,0.279600,0.013957
backbone_only,clean,600,0.768876,0.002949,0.316000,0.005050,0.414400,0.008989
backbone_only,downscale_2x,600,0.761460,0.001835,0.323400,0.008532,0.371600,0.013740
backbone_only,downscale_4x,600,0.727780,0.001437,0.344000,0.005612,0.318400,0.011781
backbone_only,jpeg_q10,600,0.695344,0.001727,0.357800,0.008136,0.247600,0.019769
backbone_only,jpeg_q30,600,0.736980,0.001362,0.343800,0.010872,0.358000,0.017436
backbone_only,jpeg_q50,600,0.750768,0.001489,0.330200,0.008136,0.381600,0.027033
backbone_only,noise_s10,600,0.758588,0.001795,0.322200,0.008729,0.378800,0.020765
backbone_only,noise_s20,600,0.739608,0.000936,0.331600,0.012198,0.346000,0.020298
backbone_only,noise_s5,600,0.757796,0.002842,0.317600,0.004336,0.391600,0.010621
full_fusion,blur_s1,600,0.764796,0.000967,0.308200,0.003768,0.375600,0.011082
full_fusion,blur_s2,600,0.732488,0.000998,0.337600,0.010900,0.316800,0.016100
full_fusion,blur_s3,600,0.705096,0.002139,0.354000,0.007874,0.254800,0.019318
full_fusion,clean,600,0.774036,0.002040,0.298200,0.004025,0.413600,0.018623
full_fusion,downscale_2x,600,0.766196,0.001146,0.304400,0.005177,0.373200,0.012377
full_fusion,downscale_4x,600,0.733300,0.001224,0.339200,0.006419,0.308400,0.014311
full_fusion,jpeg_q10,600,0.703956,0.001535,0.341600,0.004393,0.245600,0.005177
full_fusion,jpeg_q30,600,0.741388,0.001803,0.333600,0.008905,0.352800,0.016346
full_fusion,jpeg_q50,600,0.754412,0.001642,0.319800,0.007120,0.383200,0.013387
full_fusion,noise_s10,600,0.762432,0.001551,0.310000,0.007106,0.377600,0.015258
full_fusion,noise_s20,600,0.744716,0.000866,0.328600,0.004336,0.352000,0.015748
full_fusion,noise_s5,600,0.762312,0.001927,0.314800,0.008319,0.401600,0.018243
