seed,variant,perturbation,n,auc,eer,tpr5
0,backbone_only,noise_s20,600,0.74114,0.32099999999999995,0.368
0,backbone_only,clean,600,0.77078,0.31000000000000005,0.416
0,backbone_only,jpeg_q50,600,0.75136,0.32999999999999996,0.384
0,backbone_only,blur_s1,600,0.76278,0.31799999999999995,0.368
0,backbone_only,downscale_4x,600,0.73008,0.34099999999999997,0.314
0,backbone_only,jpeg_q10,600,0.6932,0.36,0.278
0,backbone_only,blur_s2,600,0.72958,0.33999999999999997,0.326
0,backbone_only,downscale_2x,600,0.7644,0.31999999999999995,0.368
0,backbone_only,blur_s3,600,0.70078,0.35,0.264
0,backbone_only,noise_s10,600,0.75998,0.33099999999999996,0.412
0,backbone_only,jpeg_q30,600,0.7379,0.348,0.386
0,backbone_only,noise_s5,600,0.7606,0.31799999999999995,0.396
0,backbone+rppg,noise_s20,600,0.74066,0.32099999999999995,0.376
0,backbone+rppg,clean,600,0.76988,0.30000000000000004,0.392
0,backbone+rppg,jpeg_q50,600,0.75086,0.31999999999999995,0.402
0,backbone+rppg,blur_s1,600,0.7596,0.31999999999999995,0.374
0,backbone+rppg,downscale_4x,600,0.72938,0.34199999999999997,0.32
0,backbone+rppg,jpeg_q10,600,0.696,0.35,0.256
0,backbone+rppg,blur_s2,600,0.72876,0.33999999999999997,0.312
0,backbone+rppg,downscale_2x,600,0.7615,0.31999999999999995,0.364
0,backbone+rppg,blur_s3,600,0.70184,0.361,0.264
0,backbone+rppg,noise_s10,600,0.75984,0.32799999999999996,0.414
0,backbone+rppg,jpeg_q30,600,0.73742,0.34199999999999997,0.398
0,backbone+rppg,noise_s5,600,0.76014,0.31100000000000005,0.428
0,backbone+blink,noise_s20,600,0.7463,0.32999999999999996,0.374
0,backbone+blink,clean,600,0.77552,0.30000000000000004,0.442
0,backbone+blink,jpeg_q50,600,0.7537,0.32799999999999996,0.37
0,backbone+blink,blur_s1,600,0.76708,0.31199999999999994,0.38
0,backbone+blink,downscale_4x,600,0.73593,0.32999999999999996,0.308
0,backbone+blink,jpeg_q10,600,0.69976,0.35,0.25
0,backbone+blink,blur_s2,600,0.73434,0.33999999999999997,0.33
0,backbone+blink,downscale_2x,600,0.76826,0.31199999999999994,0.382
0,backbone+blink,blur_s3,600,0.7087,0.32999999999999996,0.25
0,backbone+blink,noise_s10,600,0.7633,0.31899999999999995,0.4
0,backbone+blink,jpeg_q30,600,0.74068,0.34099999999999997,0.376
0,backbone+blink,noise_s5,600,0.7642,0.31899999999999995,0.388
0,full_fusion,noise_s20,600,0.74554,0.32099999999999995,0.378
0,full_fusion,clean,600,0.77418,0.30000000000000004,0.4
0,full_fusion,jpeg_q50,600,0.75274,0.32899999999999996,0.396
0,full_fusion,blur_s1,600,0.76486,0.31199999999999994,0.37
0,full_fusion,downscale_4x,600,0.73462,0.33999999999999997,0.316
0,full_fusion,jpeg_q10,600,0.70124,0.33899999999999997,0.242
0,full_fusion,blur_s2,600,0.73406,0.33799999999999997,0.336
0,full_fusion,downscale_2x,600,0.76596,0.31000000000000005,0.366
0,full_fusion,blur_s3,600,0.70826,0.34199999999999997,0.244
0,full_fusion,noise_s10,600,0.7631,0.31000000000000005,0.398
0,full_fusion,jpeg_q30,600,0.73996,0.33999999999999997,0.35
0,full_fusion,noise_s5,600,0.76272,0.31000000000000005,0.412
1,backbone_only,noise_s20,600,0.7389,0.349,0.352
1,backbone_only,clean,600,0.76588,0.31999999999999995,0.41
1,backbone_only,jpeg_q50,600,0.74818,0.32999999999999996,0.396
1,backbone_only,blur_s1,600,0.75914,0.32999999999999996,0.358
1,backbone_only,downscale_4x,600,0.72798,0.35,0.324
1,backbone_only,jpeg_q10,600,0.69458,0.35,0.23
1,backbone_only,blur_s2,600,0.72756,0.33999999999999997,0.324
1,backbone_only,downscale_2x,600,0.76104,0.32799999999999996,0.352
1,backbone_only,blur_s3,600,0.69926,0.36,0.302
1,backbone_only,noise_s10,600,0.75826,0.31000000000000005,0.36
1,backbone_only,jpeg_q30,600,0.73604,0.36,0.342
1,backbone_only,noise_s5,600,0.7545,0.31000000000000005,0.408
1,backbone+rppg,noise_s20,600,0.73992,0.33899999999999997,0.346
1,backbone+rppg,clean,600,0.76796,0.31999999999999995,0.408
1,backbone+rppg,jpeg_q50,600,0.75146,0.31999999999999995,0.392
