regime,variant,cdf_split,n,auc_mean,auc_std,eer_mean,eer_std,tpr5_mean,tpr5_std
ff_only,backbone+blink,by_clip,1306,0.564754,0.002150,0.444532,0.003360,0.066076,0.006219
ff_only,backbone+blink,by_subject,1758,0.562500,0.002177,0.453895,0.007527,0.087419,0.002986
ff_only,backbone+rppg,by_clip,1306,0.604618,0.006421,0.418428,0.007852,0.093534,0.011542
ff_only,backbone+rppg,by_subject,1758,0.582131,0.003426,0.438965,0.007559,0.060571,0.006733
ff_only,backbone_only,by_clip,1306,0.559748,0.001085,0.448829,0.002882,0.060230,0.000626
ff_only,backbone_only,by_subject,1758,0.560814,0.002547,0.465879,0.003994,0.079248,0.004479
ff_only,full_fusion,by_clip,1306,0.604644,0.007161,0.419348,0.006170,0.095483,0.016880
ff_only,full_fusion,by_subject,1758,0.582201,0.003735,0.440928,0.008368,0.058755,0.006214
mixed,backbone+blink,by_clip,1306,0.615207,0.005656,0.411230,0.004805,0.114260,0.010499
mixed,backbone+blink,by_subject,1758,0.605988,0.002333,0.429601,0.004737,0.121141,0.008645
mixed,backbone+rppg,by_clip,1306,0.640477,0.004955,0.389424,0.011364,0.103277,0.007557
mixed,backbone+rppg,by_subject,1758,0.614116,0.003382,0.417218,0.003051,0.070298,0.009691
mixed,backbone_only,by_clip,1306,0.614558,0.006794,0.416801,0.004551,0.109477,0.002393
mixed,backbone_only,by_subject,1758,0.604791,0.002200,0.438048,0.003747,0.147471,0.008095
mixed,full_fusion,by_clip,1306,0.641158,0.005032,0.388593,0.010000,0.104340,0.008910
mixed,full_fusion,by_subject,1758,0.614064,0.002985,0.422136,0.005152,0.070687,0.006739
