regime,variant,cdf_split,n,auc_mean,auc_std,eer_mean,eer_std,tpr5_mean,tpr5_std
ff_only,backbone+blink,by_clip,1306,0.765677,0.010302,0.300681,0.012174,0.287865,0.026028
ff_only,backbone+blink,by_subject,1758,0.765813,0.012243,0.310086,0.012587,0.287808,0.032098
ff_only,backbone+rppg,by_clip,1306,0.769178,0.009719,0.297126,0.010900,0.306820,0.016363
ff_only,backbone+rppg,by_subject,1758,0.767606,0.009639,0.308187,0.011500,0.280934,0.028895
ff_only,backbone_only,by_clip,1306,0.774188,0.009978,0.294191,0.016523,0.301151,0.021578
ff_only,backbone_only,by_subject,1758,0.769917,0.012989,0.309493,0.010853,0.294293,0.033618
ff_only,full_fusion,by_clip,1306,0.759866,0.009081,0.306606,0.011052,0.296546,0.019359
ff_only,full_fusion,by_subject,1758,0.763574,0.008541,0.313031,0.009494,0.278729,0.024314
mixed,backbone+blink,by_clip,1306,0.974785,0.000802,0.081333,0.003245,0.795394,0.019069
mixed,backbone+blink,by_subject,1758,0.941064,0.001018,0.129471,0.004356,0.707523,0.004516
mixed,backbone+rppg,by_clip,1306,0.972953,0.001800,0.080326,0.002374,0.790965,0.029517
mixed,backbone+rppg,by_subject,1758,0.942189,0.002389,0.126915,0.005313,0.705188,0.010896
mixed,backbone_only,by_clip,1306,0.973819,0.001639,0.082518,0.003245,0.792914,0.022498
mixed,backbone_only,by_subject,1758,0.941030,0.001087,0.128814,0.003858,0.708560,0.006933
mixed,full_fusion,by_clip,1306,0.973587,0.001166,0.080237,0.002182,0.798937,0.018292
mixed,full_fusion,by_subject,1758,0.942637,0.002420,0.125998,0.003836,0.709209,0.009449
