config,train,test,seed,variant,n_train,n_val,n_test,val_source,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,0,backbone_only,5781,600,1758,FF++ (identity-aware),0.5652576620070136,0.9012149590107603,0.4626747369938031,0.017509727626459144,0.09208819714656291,0.14721141374837873
test_celebdf,ff+dfdc,celebdf,0,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.5835570086948167,0.9025750694783001,0.4436878512753999,0.013618677042801557,0.07198443579766536,0.18417639429312582
test_celebdf,ff+dfdc,celebdf,0,backbone+blink,5781,600,1758,FF++ (identity-aware),0.5674418744295527,0.9007707419114824,0.45382980256521116,0.01556420233463035,0.0940337224383917,0.14785992217898833
test_celebdf,ff+dfdc,celebdf,0,full_fusion,5781,600,1758,FF++ (identity-aware),0.5817330787337273,0.9022347286789985,0.4485966998126531,0.011673151750972763,0.0654993514915694,0.18417639429312582
test_celebdf,ff+dfdc,celebdf,1,backbone_only,5781,600,1758,FF++ (identity-aware),0.5674929144449248,0.9010799343896829,0.45938715953307396,0.014267185473411154,0.08690012970168612,0.14267185473411154
test_celebdf,ff+dfdc,celebdf,1,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.5799136523034059,0.9007026055391717,0.4407245280299755,0.014267185473411154,0.05382619974059663,0.15369649805447472
test_celebdf,ff+dfdc,celebdf,1,backbone+blink,5781,600,1758,FF++ (identity-aware),0.568004815775568,0.9009212755683018,0.45841439688715957,0.016861219195849545,0.0907911802853437,0.14332036316472113
test_celebdf,ff+dfdc,celebdf,1,full_fusion,5781,600,1758,FF++ (identity-aware),0.578969412019023,0.9007441685440505,0.4443363597060095,0.01297016861219196,0.051232166018158234,0.15304798962386512
test_celebdf,ff+dfdc,celebdf,42,backbone_only,5781,600,1758,FF++ (identity-aware),0.5649889513378489,0.9009629742116625,0.4675835855310564,0.01621271076523995,0.09727626459143969,0.14396887159533073
test_celebdf,ff+dfdc,celebdf,42,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.5840148676562424,0.9017662538652582,0.4315553393860787,0.014915693904020753,0.05966277561608301,0.1562905317769131
test_celebdf,ff+dfdc,celebdf,42,backbone+blink,5781,600,1758,FF++ (identity-aware),0.5643464476149301,0.9006395819818209,0.4629989912091079,0.017509727626459144,0.08949416342412451,0.14526588845654995
test_celebdf,ff+dfdc,celebdf,42,full_fusion,5781,600,1758,FF++ (identity-aware),0.5837746793486093,0.9015582697399023,0.4305825767401643,0.014267185473411154,0.055771725032425425,0.1608300907911803
test_celebdf,ff+dfdc,celebdf,1337,backbone_only,5781,600,1758,FF++ (identity-aware),0.5659151774991593,0.9016492518313526,0.45841439688715957,0.020752269779507133,0.08819714656290532,0.14526588845654995
test_celebdf,ff+dfdc,celebdf,1337,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.5812647115338425,0.9012891029571077,0.43975176538406113,0.01556420233463035,0.051232166018158234,0.16731517509727625
test_celebdf,ff+dfdc,celebdf,1337,backbone+blink,5781,600,1758,FF++ (identity-aware),0.5659391963299226,0.9009962097210729,0.45382980256521116,0.020103761348897537,0.08949416342412451,0.14850843060959792
test_celebdf,ff+dfdc,celebdf,1337,full_fusion,5781,600,1758,FF++ (identity-aware),0.5827959119950041,0.9017139081173966,0.43549142527741747,0.01556420233463035,0.05058365758754864,0.14591439688715954
test_celebdf,ff+dfdc,celebdf,2024,backbone_only,5781,600,1758,FF++ (identity-aware),0.5666582600758995,0.9011201791152254,0.4629989912091079,0.017509727626459144,0.08365758754863813,0.14785992217898833
test_celebdf,ff+dfdc,celebdf,2024,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.5855460681174041,0.9024755250201757,0.4341944084161983,0.01232166018158236,0.06031128404669261,0.16472114137483787
test_celebdf,ff+dfdc,celebdf,2024,backbone+blink,5781,600,1758,FF++ (identity-aware),0.5675919921218235,0.9008244104949187,0.45350554834990636,0.018158236057068743,0.08560311284046693,0.1549935149156939
test_celebdf,ff+dfdc,celebdf,2024,full_fusion,5781,600,1758,FF++ (identity-aware),0.5853809386559062,0.9024627268079707,0.43581567949272226,0.01232166018158236,0.05966277561608301,0.16601815823605706
test_dfdc,ff+celebdf,dfdc,0,backbone_only,11929,600,77,FF++ (identity-aware),0.5892561983471074,0.8164078954311369,0.4545454545454546,0.18181818181818182,0.21818181818181817,0.32727272727272727
test_dfdc,ff+celebdf,dfdc,0,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6157024793388429,0.8117849135360634,0.4545454545454546,0.07272727272727272,0.18181818181818182,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,0,backbone+blink,11929,600,77,FF++ (identity-aware),0.5809917355371901,0.8142405968370021,0.4545454545454546,0.16363636363636364,0.2545454545454545,0.2909090909090909
test_dfdc,ff+celebdf,dfdc,0,full_fusion,11929,600,77,FF++ (identity-aware),0.6355371900826446,0.8250222810128277,0.4136363636363637,0.09090909090909091,0.16363636363636364,0.34545454545454546
test_dfdc,ff+celebdf,dfdc,1,backbone_only,11929,600,77,FF++ (identity-aware),0.5942148760330579,0.8173180516471881,0.4136363636363637,0.14545454545454545,0.23636363636363636,0.32727272727272727
test_dfdc,ff+celebdf,dfdc,1,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6198347107438017,0.8050094455033402,0.36363636363636365,0.03636363636363636,0.16363636363636364,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,1,backbone+blink,11929,600,77,FF++ (identity-aware),0.5917355371900826,0.8188837653699272,0.44545454545454544,0.14545454545454545,0.2545454545454545,0.34545454545454546
test_dfdc,ff+celebdf,dfdc,1,full_fusion,11929,600,77,FF++ (identity-aware),0.6347107438016529,0.8118209459471988,0.35454545454545455,0.03636363636363636,0.18181818181818182,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,42,backbone_only,11929,600,77,FF++ (identity-aware),0.6173553719008265,0.8286734607492253,0.4136363636363637,0.2545454545454545,0.2727272727272727,0.2727272727272727
test_dfdc,ff+celebdf,dfdc,42,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6454545454545455,0.820376260858299,0.36363636363636365,0.07272727272727272,0.2,0.2
test_dfdc,ff+celebdf,dfdc,42,backbone+blink,11929,600,77,FF++ (identity-aware),0.6074380165289256,0.8254183279469676,0.4545454545454546,0.23636363636363636,0.2727272727272727,0.2909090909090909
test_dfdc,ff+celebdf,dfdc,42,full_fusion,11929,600,77,FF++ (identity-aware),0.6504132231404959,0.8247812267798473,0.36363636363636365,0.09090909090909091,0.2,0.2
test_dfdc,ff+celebdf,dfdc,1337,backbone_only,11929,600,77,FF++ (identity-aware),0.6049586776859505,0.8254919873694707,0.4136363636363637,0.16363636363636364,0.23636363636363636,0.36363636363636365
test_dfdc,ff+celebdf,dfdc,1337,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6214876033057851,0.820139593064939,0.36363636363636365,0.09090909090909091,0.21818181818181817,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,1337,backbone+blink,11929,600,77,FF++ (identity-aware),0.6165289256198347,0.8299981188652322,0.4545454545454546,0.2545454545454545,0.2727272727272727,0.3090909090909091
test_dfdc,ff+celebdf,dfdc,1337,full_fusion,11929,600,77,FF++ (identity-aware),0.6115702479338843,0.8144218331172385,0.36363636363636365,0.09090909090909091,0.2,0.21818181818181817
test_dfdc,ff+celebdf,dfdc,2024,backbone_only,11929,600,77,FF++ (identity-aware),0.6016528925619835,0.8190873283491675,0.4136363636363637,0.2,0.23636363636363636,0.2545454545454545
test_dfdc,ff+celebdf,dfdc,2024,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6132231404958678,0.8022328027942249,0.4136363636363637,0.03636363636363636,0.12727272727272726,0.23636363636363636
test_dfdc,ff+celebdf,dfdc,2024,backbone+blink,11929,600,77,FF++ (identity-aware),0.5909090909090909,0.8141603418441776,0.4545454545454546,0.18181818181818182,0.23636363636363636,0.2545454545454545
test_dfdc,ff+celebdf,dfdc,2024,full_fusion,11929,600,77,FF++ (identity-aware),0.6165289256198347,0.8017706529233231,0.4136363636363637,0.03636363636363636,0.12727272727272726,0.2
test_ff,celebdf+dfdc,ff,0,backbone_only,4596,556,600,CelebDF (subject-aware),0.63254,0.8773683106116259,0.381,0.008,0.058,0.188
test_ff,celebdf+dfdc,ff,0,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.61354,0.8773974076095102,0.42100000000000004,0.014,0.106,0.208
test_ff,celebdf+dfdc,ff,0,backbone+blink,4596,556,600,CelebDF (subject-aware),0.63014,0.8771213055930002,0.388,0.008,0.052,0.182
test_ff,celebdf+dfdc,ff,0,full_fusion,4596,556,600,CelebDF (subject-aware),0.61274,0.876486921099847,0.42000000000000004,0.018,0.064,0.208
test_ff,celebdf+dfdc,ff,1,backbone_only,4596,556,600,CelebDF (subject-aware),0.64842,0.8871431981853184,0.39,0.006,0.144,0.216
test_ff,celebdf+dfdc,ff,1,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.6292,0.8810673926661601,0.4,0.006,0.128,0.214
test_ff,celebdf+dfdc,ff,1,backbone+blink,4596,556,600,CelebDF (subject-aware),0.62074,0.8701743632506954,0.39,0.008,0.038,0.148
test_ff,celebdf+dfdc,ff,1,full_fusion,4596,556,600,CelebDF (subject-aware),0.62852,0.8803569519621421,0.4,0.006,0.116,0.196
test_ff,celebdf+dfdc,ff,42,backbone_only,4596,556,600,CelebDF (subject-aware),0.63298,0.8774259028809218,0.39,0.006,0.068,0.18
test_ff,celebdf+dfdc,ff,42,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.62286,0.8780836012930738,0.4,0.008,0.098,0.206
test_ff,celebdf+dfdc,ff,42,backbone+blink,4596,556,600,CelebDF (subject-aware),0.6308,0.8770720587103704,0.39,0.008,0.07,0.178
test_ff,celebdf+dfdc,ff,42,full_fusion,4596,556,600,CelebDF (subject-aware),0.62048,0.8768240496481381,0.401,0.008,0.084,0.202
test_ff,celebdf+dfdc,ff,1337,backbone_only,4596,556,600,CelebDF (subject-aware),0.64022,0.88233370215569,0.39,0.006,0.104,0.222
test_ff,celebdf+dfdc,ff,1337,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.63354,0.8823822957141152,0.39,0.006,0.142,0.226
test_ff,celebdf+dfdc,ff,1337,backbone+blink,4596,556,600,CelebDF (subject-aware),0.63712,0.8824394312594678,0.392,0.006,0.098,0.218
test_ff,celebdf+dfdc,ff,1337,full_fusion,4596,556,600,CelebDF (subject-aware),0.62978,0.8817332390947052,0.4,0.006,0.13,0.202
test_ff,celebdf+dfdc,ff,2024,backbone_only,4596,556,600,CelebDF (subject-aware),0.63258,0.878117412558017,0.388,0.006,0.074,0.196
test_ff,celebdf+dfdc,ff,2024,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.61376,0.8741944322439046,0.42000000000000004,0.006,0.062,0.218
test_ff,celebdf+dfdc,ff,2024,backbone+blink,4596,556,600,CelebDF (subject-aware),0.6299,0.8775769013934764,0.39,0.006,0.062,0.186
test_ff,celebdf+dfdc,ff,2024,full_fusion,4596,556,600,CelebDF (subject-aware),0.615,0.8734324051772442,0.41000000000000003,0.006,0.05,0.188
