config,train,test,seed,variant,n_train,n_val,n_test,val_source,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,0,backbone_only,5781,600,1758,FF++ (identity-aware),0.758808906182447,0.9538133567929554,0.3055015131863381,0.14267185473411154,0.24189364461738003,0.3858625162127108
test_celebdf,ff+dfdc,celebdf,0,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.7469345967238314,0.9510899470606271,0.3192552961521833,0.13164721141374838,0.22568093385214008,0.3463035019455253
test_celebdf,ff+dfdc,celebdf,0,backbone+blink,5781,600,1758,FF++ (identity-aware),0.7542723495220253,0.9526246103756932,0.31434644761493014,0.14267185473411154,0.24773022049286642,0.3865110246433204
test_celebdf,ff+dfdc,celebdf,0,full_fusion,5781,600,1758,FF++ (identity-aware),0.742473098909545,0.9499327616610123,0.3241641446894365,0.12905317769131,0.23929961089494164,0.3437094682230869
test_celebdf,ff+dfdc,celebdf,1,backbone_only,5781,600,1758,FF++ (identity-aware),0.7568723879521545,0.9541572535109656,0.3238398904741317,0.14072632944228275,0.25680933852140075,0.4033722438391699
test_celebdf,ff+dfdc,celebdf,1,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.7602500360282461,0.9548140065618291,0.3195795503674881,0.14072632944228275,0.2788586251621271,0.39299610894941633
test_celebdf,ff+dfdc,celebdf,1,backbone+blink,5781,600,1758,FF++ (identity-aware),0.7519305135226018,0.9529133143857795,0.33333333333333337,0.1297016861219196,0.25680933852140075,0.39234760051880674
test_celebdf,ff+dfdc,celebdf,1,full_fusion,5781,600,1758,FF++ (identity-aware),0.755761517029351,0.9536701940093102,0.3241641446894365,0.12840466926070038,0.2730220492866407,0.3858625162127108
test_celebdf,ff+dfdc,celebdf,42,backbone_only,5781,600,1758,FF++ (identity-aware),0.734633953019167,0.9484791757709022,0.32842448479608016,0.14915693904020752,0.2140077821011673,0.33657587548638135
test_celebdf,ff+dfdc,celebdf,42,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.7388552625258202,0.9494966488931045,0.33333333333333337,0.16536964980544747,0.21011673151750973,0.3540856031128405
test_celebdf,ff+dfdc,celebdf,42,backbone+blink,5781,600,1758,FF++ (identity-aware),0.7315265167891627,0.9475753314153958,0.3379179276552817,0.1309987029831388,0.2237354085603113,0.35149156939040205
test_celebdf,ff+dfdc,celebdf,42,full_fusion,5781,600,1758,FF++ (identity-aware),0.7367085795263486,0.9487641193641528,0.3379179276552817,0.14721141374837873,0.20687418936446172,0.3339818417639429
test_celebdf,ff+dfdc,celebdf,1337,backbone_only,5781,600,1758,FF++ (identity-aware),0.7488110678772157,0.9511357546596476,0.32874873901138496,0.1601815823605707,0.2457846952010376,0.33138780804150453
test_celebdf,ff+dfdc,celebdf,1337,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.7397709804486717,0.9490156178269695,0.33333333333333337,0.14980544747081712,0.22632944228274968,0.30739299610894943
test_celebdf,ff+dfdc,celebdf,1337,backbone+blink,5781,600,1758,FF++ (identity-aware),0.7449500408320123,0.9499092662124357,0.3156434644761493,0.14267185473411154,0.2185473411154345,0.321011673151751
test_celebdf,ff+dfdc,celebdf,1337,full_fusion,5781,600,1758,FF++ (identity-aware),0.7371799490800788,0.9481703203689376,0.32972150165729935,0.13813229571984437,0.2198443579766537,0.3106355382619974
test_celebdf,ff+dfdc,celebdf,2024,backbone_only,5781,600,1758,FF++ (identity-aware),0.7475921122159773,0.9507204401890551,0.3241641446894365,0.13878080415045396,0.23022049286640725,0.3417639429312581
test_celebdf,ff+dfdc,celebdf,2024,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.7568423644137003,0.9527521011788515,0.3195795503674881,0.1549935149156939,0.248378728923476,0.35732814526588846
test_celebdf,ff+dfdc,celebdf,2024,backbone+blink,5781,600,1758,FF++ (identity-aware),0.744828445501273,0.949786059933609,0.332360570687419,0.12775616083009078,0.22632944228274968,0.32619974059662776
test_celebdf,ff+dfdc,celebdf,2024,full_fusion,5781,600,1758,FF++ (identity-aware),0.7543113801220157,0.9518161319090086,0.3241641446894365,0.13553826199740596,0.2198443579766537,0.3437094682230869
test_dfdc,ff+celebdf,dfdc,0,backbone_only,11929,600,77,FF++ (identity-aware),0.656198347107438,0.7982739693154808,0.36363636363636365,0.03636363636363636,0.10909090909090909,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6487603305785123,0.7899821649691797,0.40454545454545454,0.03636363636363636,0.05454545454545454,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,backbone+blink,11929,600,77,FF++ (identity-aware),0.6727272727272727,0.8057958872571636,0.32272727272727275,0.05454545454545454,0.10909090909090909,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,0,full_fusion,11929,600,77,FF++ (identity-aware),0.6619834710743802,0.7991877757748242,0.40454545454545454,0.05454545454545454,0.07272727272727272,0.10909090909090909
test_dfdc,ff+celebdf,dfdc,1,backbone_only,11929,600,77,FF++ (identity-aware),0.6628099173553719,0.8079213178493144,0.36363636363636365,0.07272727272727272,0.10909090909090909,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6586776859504132,0.8051213379012272,0.36363636363636365,0.07272727272727272,0.07272727272727272,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,1,backbone+blink,11929,600,77,FF++ (identity-aware),0.6694214876033058,0.8137758138668219,0.32272727272727275,0.09090909090909091,0.12727272727272726,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,1,full_fusion,11929,600,77,FF++ (identity-aware),0.6710743801652893,0.8105728689818621,0.32272727272727275,0.07272727272727272,0.10909090909090909,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,42,backbone_only,11929,600,77,FF++ (identity-aware),0.6586776859504132,0.8018816478036316,0.36363636363636365,0.03636363636363636,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,42,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6652892561983471,0.7963619618750455,0.35454545454545455,0.03636363636363636,0.05454545454545454,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,42,backbone+blink,11929,600,77,FF++ (identity-aware),0.6735537190082644,0.8089958863626373,0.36363636363636365,0.05454545454545454,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,42,full_fusion,11929,600,77,FF++ (identity-aware),0.675206611570248,0.808988489430476,0.36363636363636365,0.05454545454545454,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,backbone_only,11929,600,77,FF++ (identity-aware),0.6628099173553719,0.8072299063214676,0.32272727272727275,0.07272727272727272,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6652892561983471,0.8055651373691982,0.32272727272727275,0.05454545454545454,0.09090909090909091,0.16363636363636364
test_dfdc,ff+celebdf,dfdc,1337,backbone+blink,11929,600,77,FF++ (identity-aware),0.6702479338842975,0.8071104145955635,0.35454545454545455,0.07272727272727272,0.12727272727272726,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,1337,full_fusion,11929,600,77,FF++ (identity-aware),0.6661157024793388,0.8065478569574739,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.12727272727272726
test_dfdc,ff+celebdf,dfdc,2024,backbone_only,11929,600,77,FF++ (identity-aware),0.6760330578512397,0.8178930215554046,0.37272727272727274,0.05454545454545454,0.12727272727272726,0.18181818181818182
test_dfdc,ff+celebdf,dfdc,2024,backbone+rppg,11929,600,77,FF++ (identity-aware),0.6735537190082644,0.8104892569965828,0.36363636363636365,0.03636363636363636,0.10909090909090909,0.16363636363636364
test_dfdc,ff+celebdf,dfdc,2024,backbone+blink,11929,600,77,FF++ (identity-aware),0.6867768595041323,0.8206468390601971,0.36363636363636365,0.07272727272727272,0.12727272727272726,0.14545454545454545
test_dfdc,ff+celebdf,dfdc,2024,full_fusion,11929,600,77,FF++ (identity-aware),0.6859504132231405,0.8204138339086284,0.36363636363636365,0.07272727272727272,0.12727272727272726,0.14545454545454545
test_ff,celebdf+dfdc,ff,0,backbone_only,4596,556,600,CelebDF (subject-aware),0.67094,0.91288102244789,0.381,0.138,0.246,0.316
test_ff,celebdf+dfdc,ff,0,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.6742,0.9145905272354462,0.38,0.162,0.278,0.338
test_ff,celebdf+dfdc,ff,0,backbone+blink,4596,556,600,CelebDF (subject-aware),0.67074,0.9130019641302298,0.389,0.136,0.244,0.312
test_ff,celebdf+dfdc,ff,0,full_fusion,4596,556,600,CelebDF (subject-aware),0.67422,0.9146270819584977,0.389,0.158,0.278,0.338
test_ff,celebdf+dfdc,ff,1,backbone_only,4596,556,600,CelebDF (subject-aware),0.65456,0.9036453095173542,0.382,0.068,0.222,0.272
test_ff,celebdf+dfdc,ff,1,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.65568,0.9037674111795098,0.38,0.062,0.21,0.282
test_ff,celebdf+dfdc,ff,1,backbone+blink,4596,556,600,CelebDF (subject-aware),0.65514,0.9037973554039866,0.381,0.066,0.226,0.276
test_ff,celebdf+dfdc,ff,1,full_fusion,4596,556,600,CelebDF (subject-aware),0.65584,0.9038826639572335,0.38,0.062,0.21,0.278
test_ff,celebdf+dfdc,ff,42,backbone_only,4596,556,600,CelebDF (subject-aware),0.6653,0.911044170619042,0.39,0.162,0.234,0.304
test_ff,celebdf+dfdc,ff,42,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.6722,0.9134216182826462,0.378,0.178,0.21,0.336
test_ff,celebdf+dfdc,ff,42,backbone+blink,4596,556,600,CelebDF (subject-aware),0.67194,0.9133614169835753,0.38,0.166,0.212,0.33
test_ff,celebdf+dfdc,ff,42,full_fusion,4596,556,600,CelebDF (subject-aware),0.6735,0.9138783328790715,0.371,0.174,0.208,0.334
test_ff,celebdf+dfdc,ff,1337,backbone_only,4596,556,600,CelebDF (subject-aware),0.66856,0.9110908046655555,0.38,0.104,0.244,0.304
test_ff,celebdf+dfdc,ff,1337,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.6632,0.9095542371584893,0.38,0.092,0.244,0.314
test_ff,celebdf+dfdc,ff,1337,backbone+blink,4596,556,600,CelebDF (subject-aware),0.66842,0.9110422260489165,0.38,0.104,0.246,0.304
test_ff,celebdf+dfdc,ff,1337,full_fusion,4596,556,600,CelebDF (subject-aware),0.66306,0.9096183396373368,0.38,0.092,0.244,0.314
test_ff,celebdf+dfdc,ff,2024,backbone_only,4596,556,600,CelebDF (subject-aware),0.64896,0.9008844194540531,0.41000000000000003,0.078,0.156,0.28
test_ff,celebdf+dfdc,ff,2024,backbone+rppg,4596,556,600,CelebDF (subject-aware),0.65384,0.902035765804939,0.388,0.06,0.146,0.246
test_ff,celebdf+dfdc,ff,2024,backbone+blink,4596,556,600,CelebDF (subject-aware),0.64784,0.9004155014355677,0.40800000000000003,0.078,0.158,0.288
test_ff,celebdf+dfdc,ff,2024,full_fusion,4596,556,600,CelebDF (subject-aware),0.65444,0.9023750148654709,0.39,0.06,0.156,0.25
