config,train,test,seed,variant,n_train,n_val,n_test,val_source,auc,ap,eer,tpr1,tpr5,tpr10
test_celebdf,ff+dfdc,celebdf,0,backbone_only,5781,600,1758,FF++ (identity-aware),0.6187731181246097,0.905864218877569,0.41682879377431903,0.020103761348897537,0.05058365758754864,0.13748378728923477
test_celebdf,ff+dfdc,celebdf,0,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.6138972954796561,0.9045446286055112,0.42141338809626744,0.020103761348897537,0.05317769130998703,0.14396887159533073
test_celebdf,ff+dfdc,celebdf,0,backbone+blink,5781,600,1758,FF++ (identity-aware),0.6084360138348465,0.9054655445884399,0.4119199452370659,0.020752269779507133,0.0654993514915694,0.1309987029831388
test_celebdf,ff+dfdc,celebdf,0,full_fusion,5781,600,1758,FF++ (identity-aware),0.6041786760820483,0.9039571961612113,0.4259979824182159,0.019455252918287938,0.07392996108949416,0.1562905317769131
test_celebdf,ff+dfdc,celebdf,1,backbone_only,5781,600,1758,FF++ (identity-aware),0.6205234904164866,0.9032442663029232,0.4073353509151174,0.019455252918287938,0.05058365758754864,0.10700389105058365
test_celebdf,ff+dfdc,celebdf,1,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.6226671710621127,0.9049937439515932,0.41682879377431903,0.017509727626459144,0.06420233463035019,0.11413748378728923
test_celebdf,ff+dfdc,celebdf,1,backbone+blink,5781,600,1758,FF++ (identity-aware),0.6124891915261566,0.9021649632321118,0.42044062545035304,0.02529182879377432,0.042801556420233464,0.11024643320363164
test_celebdf,ff+dfdc,celebdf,1,full_fusion,5781,600,1758,FF++ (identity-aware),0.6141945285103522,0.9041374556735748,0.41682879377431903,0.02204928664072633,0.061608300907911806,0.09014267185473411
test_celebdf,ff+dfdc,celebdf,42,backbone_only,5781,600,1758,FF++ (identity-aware),0.6312989383676803,0.911960531350284,0.4073353509151174,0.019455252918287938,0.06031128404669261,0.16342412451361868
test_celebdf,ff+dfdc,celebdf,42,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.6256485084306096,0.9111092617480708,0.4119199452370659,0.033073929961089495,0.06031128404669261,0.17315175097276264
test_celebdf,ff+dfdc,celebdf,42,backbone+blink,5781,600,1758,FF++ (identity-aware),0.6202052409088725,0.9102282435132701,0.42141338809626744,0.020103761348897537,0.07068741893644617,0.17833981841763943
test_celebdf,ff+dfdc,celebdf,42,full_fusion,5781,600,1758,FF++ (identity-aware),0.6178513954940673,0.9104960954874466,0.4112714368064563,0.02594033722438392,0.0914396887159533,0.1569390402075227
test_celebdf,ff+dfdc,celebdf,1337,backbone_only,5781,600,1758,FF++ (identity-aware),0.5991647451602056,0.9028686490381375,0.4250252197723015,0.017509727626459144,0.0609597924773022,0.11608300907911803
test_celebdf,ff+dfdc,celebdf,1337,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.5968889609453811,0.9025972242944779,0.4305825767401643,0.01621271076523995,0.0609597924773022,0.13229571984435798
test_celebdf,ff+dfdc,celebdf,1337,backbone+blink,5781,600,1758,FF++ (identity-aware),0.5868911226401499,0.9020933867074332,0.45382980256521116,0.018158236057068743,0.07911802853437094,0.13553826199740596
test_celebdf,ff+dfdc,celebdf,1337,full_fusion,5781,600,1758,FF++ (identity-aware),0.588101071239852,0.9029047968989737,0.4443363597060095,0.014915693904020753,0.09727626459143969,0.15239948119325553
test_celebdf,ff+dfdc,celebdf,2024,backbone_only,5781,600,1758,FF++ (identity-aware),0.6272517653840611,0.9081330342821855,0.4119199452370659,0.02204928664072633,0.06679636835278858,0.13878080415045396
test_celebdf,ff+dfdc,celebdf,2024,backbone+rppg,5781,600,1758,FF++ (identity-aware),0.6361297257049526,0.9110252229539542,0.39816616227122065,0.018158236057068743,0.06939040207522698,0.15304798962386512
