regime,variant,split,n,auc,auc_ci_lo,auc_ci_hi,ap_ci_lo,ap_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
ff_only,backbone_only,ff_test,600,0.724580,0.671190,0.775913,0.894474,0.941219,0.048000,0.396000,0.244000,0.512050
ff_only,backbone_only,celebdf_test,1306,0.560588,0.515560,0.604681,0.867921,0.903666,0.031001,0.131156,0.080602,0.224978
ff_only,backbone_only,dfdc_test,77,0.561157,0.433037,0.693409,0.705182,0.870056,0.000000,0.472727,0.036364,0.509091
ff_only,backbone+rppg,ff_test,600,0.720620,0.665559,0.770087,0.900205,0.940677,0.056000,0.424000,0.190000,0.500000
ff_only,backbone+rppg,celebdf_test,1306,0.560238,0.515107,0.602174,0.868714,0.902473,0.023915,0.134655,0.088552,0.206422
ff_only,backbone+rppg,dfdc_test,77,0.545455,0.411570,0.681012,0.690436,0.862233,0.000000,0.418182,0.036364,0.454545
ff_only,backbone+blink,ff_test,600,0.719920,0.665710,0.771531,0.896153,0.940067,0.086000,0.394050,0.233950,0.502000
ff_only,backbone+blink,celebdf_test,1306,0.561079,0.516092,0.604186,0.867655,0.903482,0.030115,0.132042,0.082352,0.221457
ff_only,backbone+blink,dfdc_test,77,0.557851,0.432231,0.692562,0.703927,0.869119,0.000000,0.472727,0.036364,0.509091
ff_only,full_fusion,ff_test,600,0.722740,0.667593,0.772172,0.900543,0.941672,0.064000,0.424100,0.213950,0.506000
ff_only,full_fusion,celebdf_test,1306,0.560183,0.515009,0.602201,0.868744,0.902474,0.023915,0.134655,0.088552,0.207285
ff_only,full_fusion,dfdc_test,77,0.545455,0.411570,0.681012,0.690436,0.862233,0.000000,0.418182,0.036364,0.454545
mixed,backbone_only,ff_test,600,0.733040,0.679625,0.781922,0.896759,0.942961,0.070000,0.378000,0.263900,0.536000
mixed,backbone_only,celebdf_test,1306,0.610990,0.566630,0.654548,0.885515,0.919107,0.056665,0.181577,0.125775,0.279008
mixed,backbone_only,dfdc_test,77,0.592562,0.465289,0.726488,0.749855,0.888842,0.090909,0.509091,0.127273,0.527273
mixed,backbone+rppg,ff_test,600,0.726540,0.673979,0.775115,0.901540,0.942283,0.054000,0.390000,0.225850,0.530000
mixed,backbone+rppg,celebdf_test,1306,0.603184,0.560302,0.645748,0.886366,0.917591,0.047830,0.169176,0.127524,0.281687
mixed,backbone+rppg,dfdc_test,77,0.555372,0.432211,0.685971,0.734955,0.874420,0.090909,0.490909,0.127273,0.509091
mixed,backbone+blink,ff_test,600,0.728340,0.673990,0.777627,0.898136,0.942276,0.088000,0.374100,0.234000,0.530050
mixed,backbone+blink,celebdf_test,1306,0.613232,0.568374,0.657243,0.886458,0.919939,0.054894,0.183370,0.128432,0.274690
mixed,backbone+blink,dfdc_test,77,0.586777,0.456178,0.719855,0.746521,0.886266,0.090909,0.509091,0.109091,0.527273
mixed,full_fusion,ff_test,600,0.731340,0.677980,0.778467,0.902867,0.943612,0.062000,0.412000,0.253950,0.534000
mixed,full_fusion,celebdf_test,1306,0.602963,0.560247,0.645599,0.886381,0.917528,0.048716,0.168291,0.127480,0.282573
mixed,full_fusion,dfdc_test,77,0.556198,0.433037,0.685992,0.735266,0.874420,0.090909,0.490909,0.127273,0.509091
