regime,variant,split,n,auc,auc_ci_lo,auc_ci_hi,ap_ci_lo,ap_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
ff_only,backbone_only,ff_test,600,0.786520,0.745019,0.826580,0.940774,0.961631,0.413950,0.544000,0.460000,0.600050
ff_only,backbone_only,celebdf_test,1306,0.787402,0.755792,0.818065,0.950725,0.966258,0.259411,0.450841,0.393268,0.590788
ff_only,backbone_only,dfdc_test,77,0.623967,0.469401,0.757872,0.736820,0.889519,0.109091,0.364091,0.109091,0.472727
ff_only,backbone+rppg,ff_test,600,0.781700,0.740839,0.822648,0.939361,0.960728,0.408000,0.542050,0.450000,0.600050
ff_only,backbone+rppg,celebdf_test,1306,0.773506,0.741778,0.806839,0.947336,0.963551,0.214349,0.471213,0.357839,0.591696
ff_only,backbone+rppg,dfdc_test,77,0.610744,0.461054,0.749607,0.729272,0.885469,0.090909,0.381818,0.109091,0.454545
ff_only,backbone+blink,ff_test,600,0.793780,0.751634,0.835670,0.941637,0.963257,0.376000,0.574000,0.452000,0.624000
ff_only,backbone+blink,celebdf_test,1306,0.778560,0.746627,0.809825,0.948309,0.964501,0.225864,0.442006,0.359588,0.589039
ff_only,backbone+blink,dfdc_test,77,0.647107,0.494132,0.783512,0.737402,0.897467,0.090455,0.400000,0.090909,0.509091
ff_only,full_fusion,ff_test,600,0.788860,0.747232,0.830647,0.940779,0.961958,0.372000,0.556000,0.454000,0.610050
ff_only,full_fusion,celebdf_test,1306,0.763693,0.730578,0.798315,0.944425,0.961710,0.204584,0.457927,0.338353,0.582839
ff_only,full_fusion,dfdc_test,77,0.642975,0.485083,0.779380,0.723838,0.891584,0.054545,0.364091,0.072727,0.509545
mixed,backbone_only,ff_test,600,0.770780,0.727720,0.814978,0.935339,0.957944,0.328000,0.510050,0.414000,0.572000
mixed,backbone_only,celebdf_test,1306,0.975705,0.965352,0.984504,0.993926,0.997411,0.758171,0.927369,0.848516,0.971656
mixed,backbone_only,dfdc_test,77,0.828926,0.733058,0.909917,0.892962,0.965835,0.454545,0.745455,0.472727,0.800455
mixed,backbone+rppg,ff_test,600,0.769880,0.727256,0.815080,0.934571,0.957667,0.330000,0.498000,0.400000,0.560000
mixed,backbone+rppg,celebdf_test,1306,0.973833,0.962553,0.983166,0.993416,0.997195,0.742228,0.926484,0.860009,0.962799
mixed,backbone+rppg,dfdc_test,77,0.815702,0.711570,0.900000,0.882600,0.961426,0.381818,0.709091,0.418182,0.800000
mixed,backbone+blink,ff_test,600,0.775520,0.730957,0.820082,0.935952,0.959187,0.310000,0.514000,0.418000,0.562050
mixed,backbone+blink,celebdf_test,1306,0.975910,0.965965,0.984538,0.994082,0.997426,0.759942,0.928255,0.851196,0.968999
mixed,backbone+blink,dfdc_test,77,0.842149,0.745434,0.918182,0.897172,0.968924,0.381818,0.781818,0.435909,0.836364
mixed,full_fusion,ff_test,600,0.774180,0.730198,0.819333,0.935333,0.958552,0.314000,0.494050,0.401950,0.558100
mixed,full_fusion,celebdf_test,1306,0.974103,0.963135,0.983275,0.993524,0.997206,0.746656,0.926484,0.870682,0.963685
mixed,full_fusion,dfdc_test,77,0.831405,0.728884,0.909917,0.886026,0.964841,0.345455,0.745455,0.381818,0.818182
