regime,variant,split,n,auc_mean,auc_std,ap_mean,ap_std,eer_mean,eer_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
ff_only,backbone+blink,celebdf_test,1306,0.765677,0.010302,0.953604,0.002352,0.300681,0.012174,0.287865,0.026028,0.471568,0.029501
ff_only,backbone+blink,dfdc_test,77,0.663140,0.018724,0.831141,0.011424,0.408182,0.029353,0.203636,0.039417,0.243636,0.016262
ff_only,backbone+blink,ff_test,600,0.795820,0.002436,0.952979,0.000781,0.288200,0.006943,0.456000,0.017029,0.507200,0.026176
ff_only,backbone+rppg,celebdf_test,1306,0.769178,0.009719,0.954499,0.002186,0.297126,0.010900,0.306820,0.016363,0.463242,0.030715
ff_only,backbone+rppg,dfdc_test,77,0.624463,0.017702,0.814818,0.009991,0.410000,0.045500,0.196364,0.039417,0.221818,0.023706
ff_only,backbone+rppg,ff_test,600,0.786576,0.005174,0.951186,0.001354,0.290200,0.014043,0.460800,0.020425,0.500000,0.019849
ff_only,backbone_only,celebdf_test,1306,0.774188,0.009978,0.955704,0.002129,0.294191,0.016523,0.301151,0.021578,0.469796,0.022786
ff_only,backbone_only,dfdc_test,77,0.631074,0.014652,0.819678,0.010187,0.411818,0.032237,0.214545,0.015212,0.232727,0.015212
ff_only,backbone_only,ff_test,600,0.787436,0.004276,0.951509,0.001255,0.294400,0.008204,0.466400,0.018407,0.505600,0.026736
ff_only,full_fusion,celebdf_test,1306,0.759866,0.009081,0.952237,0.002170,0.306606,0.011052,0.296546,0.019359,0.450487,0.030191
ff_only,full_fusion,dfdc_test,77,0.656694,0.019414,0.824643,0.010269,0.400000,0.020830,0.196364,0.029876,0.214545,0.015212
ff_only,full_fusion,ff_test,600,0.793868,0.005054,0.952464,0.001259,0.288200,0.011054,0.449200,0.022027,0.509600,0.031509
mixed,backbone+blink,celebdf_test,1306,0.974785,0.000802,0.995708,0.000144,0.081333,0.003245,0.795394,0.019069,0.938884,0.005567
mixed,backbone+blink,dfdc_test,77,0.847603,0.006704,0.939189,0.003362,0.231818,0.000000,0.600000,0.044536,0.618182,0.053009
mixed,backbone+blink,ff_test,600,0.774672,0.002232,0.947210,0.000496,0.306800,0.008319,0.422400,0.015900,0.496400,0.008295
mixed,backbone+rppg,celebdf_test,1306,0.972953,0.001800,0.995299,0.000343,0.080326,0.002374,0.790965,0.029517,0.935518,0.008030
mixed,backbone+rppg,dfdc_test,77,0.830083,0.009666,0.931644,0.004130,0.248182,0.022407,0.527273,0.048105,0.596364,0.015212
mixed,backbone+rppg,ff_test,600,0.769896,0.002332,0.946017,0.000492,0.312000,0.008367,0.412000,0.015427,0.484800,0.014738
mixed,backbone_only,celebdf_test,1306,0.973819,0.001639,0.995501,0.000315,0.082518,0.003245,0.792914,0.022498,0.937644,0.006557
mixed,backbone_only,dfdc_test,77,0.833884,0.005259,0.934703,0.002020,0.238182,0.014230,0.585455,0.029876,0.603636,0.026968
mixed,backbone_only,ff_test,600,0.768876,0.002949,0.946003,0.000701,0.316000,0.005050,0.414400,0.008989,0.490400,0.006066
mixed,full_fusion,celebdf_test,1306,0.973587,0.001166,0.995438,0.000235,0.080237,0.002182,0.798937,0.018292,0.933038,0.007863
mixed,full_fusion,dfdc_test,77,0.842645,0.008379,0.935210,0.003941,0.221818,0.017721,0.549091,0.059474,0.610909,0.050779
mixed,full_fusion,ff_test,600,0.774036,0.002040,0.946837,0.000480,0.298200,0.004025,0.413600,0.018623,0.485600,0.011524
