regime,variant,split,n,auc,auc_ci_lo,auc_ci_hi,ap_ci_lo,ap_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
ff_only,backbone_only,ff_test,600,0.627180,0.566524,0.685311,0.867590,0.914126,0.069900,0.244050,0.148000,0.314050
ff_only,backbone_only,celebdf_test,1306,0.617391,0.571920,0.664905,0.880947,0.916191,0.049579,0.139061,0.086780,0.242715
ff_only,backbone_only,dfdc_test,77,0.535537,0.409070,0.677707,0.696475,0.849923,0.054091,0.381818,0.054545,0.454545
ff_only,backbone+rppg,ff_test,600,0.623040,0.560612,0.682544,0.864830,0.913274,0.058000,0.242050,0.150000,0.328000
ff_only,backbone+rppg,celebdf_test,1306,0.618034,0.571209,0.665722,0.880998,0.915792,0.051373,0.122298,0.082374,0.213530
ff_only,backbone+rppg,dfdc_test,77,0.543802,0.411550,0.678678,0.696285,0.851999,0.054091,0.345455,0.054545,0.418182
ff_only,backbone+blink,ff_test,600,0.643040,0.584305,0.700321,0.876953,0.920161,0.104000,0.248000,0.146000,0.350050
ff_only,backbone+blink,celebdf_test,1306,0.607107,0.560102,0.652612,0.877231,0.912757,0.041630,0.121368,0.078831,0.229407
ff_only,backbone+blink,dfdc_test,77,0.575207,0.433822,0.717376,0.712613,0.871835,0.054545,0.363636,0.072727,0.472727
ff_only,full_fusion,ff_test,600,0.639320,0.579379,0.696646,0.874572,0.918749,0.084000,0.254050,0.144000,0.360000
ff_only,full_fusion,celebdf_test,1306,0.608558,0.560683,0.655531,0.878710,0.912949,0.053144,0.109832,0.078831,0.225000
ff_only,full_fusion,dfdc_test,77,0.579339,0.440434,0.719050,0.713623,0.870571,0.054545,0.363636,0.090455,0.436364
mixed,backbone_only,ff_test,600,0.577440,0.516948,0.637530,0.851026,0.899482,0.036000,0.224050,0.130000,0.298000
mixed,backbone_only,celebdf_test,1306,0.842398,0.808548,0.873765,0.957356,0.974828,0.224070,0.479207,0.349845,0.632440
mixed,backbone_only,dfdc_test,77,0.693388,0.567748,0.808285,0.806408,0.923989,0.126818,0.600000,0.163636,0.618182
mixed,backbone+rppg,ff_test,600,0.577860,0.517657,0.639141,0.847597,0.899337,0.032000,0.218000,0.126000,0.314000
mixed,backbone+rppg,celebdf_test,1306,0.839391,0.805729,0.870306,0.956551,0.974243,0.211670,0.497874,0.298428,0.653676
mixed,backbone+rppg,dfdc_test,77,0.709091,0.583471,0.819855,0.813621,0.929351,0.127273,0.618182,0.181818,0.654545
mixed,backbone+blink,ff_test,600,0.584600,0.525328,0.644784,0.852740,0.901980,0.034000,0.216000,0.125950,0.318000
mixed,backbone+blink,celebdf_test,1306,0.840081,0.805574,0.871590,0.956326,0.974205,0.215235,0.490744,0.361360,0.620926
mixed,backbone+blink,dfdc_test,77,0.706612,0.585103,0.818202,0.811750,0.928745,0.109091,0.618182,0.145455,0.636364
mixed,full_fusion,ff_test,600,0.585020,0.524022,0.646744,0.852198,0.902145,0.035950,0.214000,0.129950,0.338000
mixed,full_fusion,celebdf_test,1306,0.837374,0.803060,0.868237,0.955625,0.973789,0.216076,0.485496,0.292228,0.642183
mixed,full_fusion,dfdc_test,77,0.713223,0.591694,0.823988,0.818953,0.931590,0.127273,0.636364,0.181818,0.636364
