regime,variant,split,n,auc_mean,auc_std,ap_mean,ap_std,eer_mean,eer_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
ff_only,backbone+blink,celebdf_test,1306,0.598043,0.017700,0.890306,0.006728,0.425095,0.015973,0.067139,0.006699,0.157839,0.015850
ff_only,backbone+blink,dfdc_test,77,0.561488,0.035391,0.789787,0.015759,0.466364,0.021704,0.167273,0.041461,0.240000,0.056627
ff_only,backbone+blink,ff_test,600,0.651028,0.012305,0.901227,0.002686,0.395200,0.021982,0.164400,0.026922,0.237600,0.023891
ff_only,backbone+rppg,celebdf_test,1306,0.614216,0.020919,0.896955,0.008514,0.424918,0.015591,0.069088,0.015670,0.163685,0.027935
ff_only,backbone+rppg,dfdc_test,77,0.534545,0.039025,0.777256,0.019185,0.480909,0.040196,0.163636,0.053009,0.192727,0.041858
ff_only,backbone+rppg,ff_test,600,0.637572,0.016561,0.895406,0.005244,0.398400,0.014926,0.151600,0.033058,0.225200,0.030548
ff_only,backbone_only,celebdf_test,1306,0.614686,0.023185,0.895483,0.008879,0.417720,0.014745,0.063419,0.019482,0.176262,0.028072
ff_only,backbone_only,dfdc_test,77,0.528264,0.031189,0.777583,0.016093,0.472727,0.025103,0.174545,0.043788,0.189091,0.053936
ff_only,backbone_only,ff_test,600,0.637796,0.011564,0.895941,0.003472,0.400200,0.012091,0.152000,0.014000,0.217600,0.027727
ff_only,full_fusion,celebdf_test,1306,0.602764,0.021233,0.893817,0.008731,0.422725,0.013990,0.061647,0.011336,0.153764,0.033345
ff_only,full_fusion,dfdc_test,77,0.568264,0.038960,0.795153,0.019967,0.482727,0.025993,0.207273,0.027574,0.240000,0.039417
ff_only,full_fusion,ff_test,600,0.654196,0.012866,0.901630,0.003311,0.393600,0.011014,0.162400,0.019047,0.237200,0.025597
mixed,backbone+blink,celebdf_test,1306,0.814797,0.030331,0.959080,0.008621,0.256947,0.028585,0.293711,0.046214,0.453853,0.068097
mixed,backbone+blink,dfdc_test,77,0.698017,0.017547,0.864553,0.011618,0.371818,0.037400,0.381818,0.084306,0.447273,0.039834
mixed,backbone+blink,ff_test,600,0.583120,0.013014,0.876295,0.005330,0.442200,0.008319,0.123600,0.029846,0.186800,0.038797
mixed,backbone+rppg,celebdf_test,1306,0.817694,0.030579,0.959975,0.007856,0.248829,0.030861,0.275288,0.070073,0.473339,0.092628
mixed,backbone+rppg,dfdc_test,77,0.695372,0.012637,0.862406,0.010572,0.361818,0.007606,0.367273,0.059474,0.421818,0.039417
mixed,backbone+rppg,ff_test,600,0.580584,0.012295,0.874472,0.004808,0.446200,0.011498,0.101600,0.027218,0.189600,0.013069
mixed,backbone_only,celebdf_test,1306,0.816862,0.030049,0.959749,0.008431,0.257512,0.029408,0.295128,0.048447,0.461825,0.064445
mixed,backbone_only,dfdc_test,77,0.686281,0.014952,0.858504,0.012409,0.396364,0.037400,0.367273,0.084697,0.425455,0.063766
mixed,backbone_only,ff_test,600,0.576288,0.012969,0.873585,0.004617,0.450600,0.010526,0.123600,0.025589,0.180000,0.022226
mixed,full_fusion,celebdf_test,1306,0.816161,0.030095,0.959545,0.007593,0.250667,0.031784,0.273162,0.059294,0.457396,0.089520
mixed,full_fusion,dfdc_test,77,0.704628,0.013308,0.867353,0.008699,0.360000,0.004979,0.396364,0.056627,0.450909,0.053629
mixed,full_fusion,ff_test,600,0.586228,0.012519,0.877032,0.005144,0.444200,0.010964,0.111200,0.029210,0.194400,0.022154
