seed,regime,variant,split,n,auc,ap,eer,tpr_at_fpr01,tpr_at_fpr05,tpr_at_fpr10
0,ff_only,backbone_only,ff_test,600,0.62718,0.891458394312044,0.40900000000000003,0.048,0.15,0.226
0,ff_only,backbone_only,celebdf_test,1306,0.6173905210851061,0.8979062010942579,0.4231132996051703,0.007971656333038087,0.07351638618246235,0.17360496014171833
0,ff_only,backbone_only,dfdc_test,77,0.5355371900826447,0.7727294741271201,0.4545454545454546,0.10909090909090909,0.12727272727272726,0.12727272727272726
0,ff_only,backbone+rppg,ff_test,600,0.62304,0.889333780783403,0.402,0.046,0.158,0.222
0,ff_only,backbone+rppg,celebdf_test,1306,0.6180335580209475,0.8978982037167806,0.41303488412824707,0.008857395925597875,0.08060230292294066,0.1488042515500443
0,ff_only,backbone+rppg,dfdc_test,77,0.543801652892562,0.7731786318873047,0.4545454545454546,0.10909090909090909,0.12727272727272726,0.12727272727272726
0,ff_only,backbone+blink,ff_test,600,0.64304,0.898556036676571,0.38,0.1,0.15,0.22
0,ff_only,backbone+blink,celebdf_test,1306,0.6071069342901323,0.8951092105702316,0.4125920143319672,0.005314437555358724,0.06465899025686449,0.13728963684676704
0,ff_only,backbone+blink,dfdc_test,77,0.5752066115702479,0.7917343292040481,0.5045454545454545,0.10909090909090909,0.16363636363636364,0.23636363636363636
0,ff_only,full_fusion,ff_test,600,0.63932,0.8974895861510404,0.388,0.086,0.158,0.228
0,ff_only,full_fusion,celebdf_test,1306,0.6085581460519534,0.8958278770431369,0.4125920143319672,0.0070859167404783,0.07705934455270151,0.10894596988485385
0,ff_only,full_fusion,dfdc_test,77,0.5793388429752067,0.794013502261414,0.5045454545454545,0.10909090909090909,0.21818181818181817,0.21818181818181817
0,mixed,backbone_only,ff_test,600,0.57744,0.875247257735017,0.43999999999999995,0.036,0.142,0.198
0,mixed,backbone_only,celebdf_test,1306,0.8423984026662263,0.966382163819456,0.22044407079911726,0.141718334809566,0.3029229406554473,0.5314437555358724
0,mixed,backbone_only,dfdc_test,77,0.6933884297520662,0.8687050044016931,0.40454545454545454,0.18181818181818182,0.45454545454545453,0.4909090909090909
0,mixed,backbone+rppg,ff_test,600,0.57786,0.8737751739770949,0.43999999999999995,0.036,0.134,0.184
0,mixed,backbone+rppg,celebdf_test,1306,0.8393908913943142,0.9657037420216823,0.22592614833385877,0.13906111603188662,0.27192205491585475,0.5562444641275465
0,mixed,backbone+rppg,dfdc_test,77,0.7090909090909091,0.8759216637517917,0.36363636363636365,0.2,0.45454545454545453,0.4727272727272727
0,mixed,backbone+blink,ff_test,600,0.5846,0.8771121482025215,0.44099999999999995,0.032,0.136,0.206
0,mixed,backbone+blink,celebdf_test,1306,0.8400814680258015,0.9656658722970679,0.22044407079911726,0.12931798051372898,0.31089459698848537,0.5199291408325952
0,mixed,backbone+blink,dfdc_test,77,0.7066115702479339,0.8736331889912392,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.4909090909090909
0,mixed,full_fusion,ff_test,600,0.58502,0.8770019897913728,0.43000000000000005,0.036,0.136,0.202
0,mixed,full_fusion,celebdf_test,1306,0.8373742074632318,0.9650832246261558,0.22592614833385877,0.1204605845881311,0.2754650132860939,0.545615589016829
0,mixed,full_fusion,dfdc_test,77,0.7132231404958678,0.8779987215136817,0.36363636363636365,0.2,0.4727272727272727,0.5272727272727272
1,ff_only,backbone_only,ff_test,600,0.64518,0.8986235372084148,0.4,0.09,0.136,0.214
1,ff_only,backbone_only,celebdf_test,1306,0.6177658344717839,0.8956452166864481,0.405781327408386,0.002657218777679362,0.046944198405668734,0.16209034543844109
1,ff_only,backbone_only,dfdc_test,77,0.5066115702479339,0.7820373507330466,0.4954545454545455,0.21818181818181817,0.23636363636363636,0.2545454545454545
1,ff_only,backbone+rppg,ff_test,600,0.651,0.8991532420375469,0.39,0.078,0.142,0.214
1,ff_only,backbone+rppg,celebdf_test,1306,0.6228450756381578,0.8989798890111774,0.42903824693619175,0.005314437555358724,0.06643046944198405,0.16474756421612047
1,ff_only,backbone+rppg,dfdc_test,77,0.512396694214876,0.7778787191080312,0.4954545454545455,0.2,0.2,0.21818181818181817
1,ff_only,backbone+blink,ff_test,600,0.65742,0.9031067126842686,0.38,0.084,0.17,0.262
1,ff_only,backbone+blink,celebdf_test,1306,0.6045848283316569,0.8913943240168138,0.4235561694014502,0.002657218777679362,0.06997342781222321,0.17006200177147918
1,ff_only,backbone+blink,dfdc_test,77,0.540495867768595,0.7902798302417624,0.4636363636363636,0.14545454545454545,0.23636363636363636,0.2727272727272727
1,ff_only,full_fusion,ff_test,600,0.66128,0.9031062778004428,0.399,0.056,0.156,0.264
1,ff_only,full_fusion,celebdf_test,1306,0.6066640644938524,0.8953501052989088,0.4185169616629886,0.007971656333038087,0.0566873339238264,0.15677590788308238
1,ff_only,full_fusion,dfdc_test,77,0.5661157024793388,0.8047923247171259,0.5045454545454545,0.21818181818181817,0.23636363636363636,0.2727272727272727
1,mixed,backbone_only,ff_test,600,0.55758,0.8679111868311455,0.46199999999999997,0.08,0.102,0.156
1,mixed,backbone_only,celebdf_test,1306,0.7705283912066575,0.9472385001885142,0.29392542773215635,0.06023029229406555,0.21612046058458814,0.37821080602302926
1,mixed,backbone_only,dfdc_test,77,0.6809917355371901,0.8484058567515834,0.35454545454545455,0.10909090909090909,0.2545454545454545,0.32727272727272727
1,mixed,backbone+rppg,ff_test,600,0.56074,0.8685456933814795,0.45999999999999996,0.06,0.09,0.174
1,mixed,backbone+rppg,celebdf_test,1306,0.7763082173614968,0.9492323972904934,0.29392542773215635,0.0637732506643047,0.1913197519929141,0.39769707705934454
1,mixed,backbone+rppg,dfdc_test,77,0.687603305785124,0.8534483639967974,0.37272727272727274,0.10909090909090909,0.34545454545454546,0.41818181818181815
1,mixed,backbone+blink,ff_test,600,0.56298,0.869945899396571,0.44999999999999996,0.076,0.11,0.136
1,mixed,backbone+blink,celebdf_test,1306,0.7680713395685397,0.9462490136585924,0.29392542773215635,0.05491585473870682,0.21966341895482727,0.3649247121346324
1,mixed,backbone+blink,dfdc_test,77,0.6900826446280992,0.8549416529239173,0.32272727272727275,0.12727272727272726,0.2545454545454545,0.38181818181818183
1,mixed,full_fusion,ff_test,600,0.5649,0.8701168148907874,0.45999999999999996,0.068,0.094,0.168
1,mixed,full_fusion,celebdf_test,1306,0.7748369888857196,0.9489890356869066,0.29940750526689786,0.070859167404783,0.20017714791851196,0.3773250664304694
1,mixed,full_fusion,dfdc_test,77,0.6942148760330579,0.8571006649905868,0.36363636363636365,0.10909090909090909,0.34545454545454546,0.4727272727272727
42,ff_only,backbone_only,ff_test,600,0.62366,0.8934422569710533,0.41000000000000003,0.07,0.17,0.224
42,ff_only,backbone_only,celebdf_test,1306,0.6479810641885975,0.908214219567008,0.39985638007736457,0.0044286979627989375,0.09300265721877768,0.2178919397697077
42,ff_only,backbone_only,dfdc_test,77,0.5495867768595041,0.795464207673346,0.4545454545454546,0.2,0.2,0.23636363636363636
42,ff_only,backbone+rppg,ff_test,600,0.61626,0.890795375950531,0.42000000000000004,0.074,0.154,0.248
42,ff_only,backbone+rppg,celebdf_test,1306,0.6401245039608072,0.9084387859484759,0.4066670670009458,0.011514614703277236,0.0841452612931798,0.21169176262178918
42,ff_only,backbone+rppg,dfdc_test,77,0.5694214876033058,0.8007299407710345,0.4545454545454546,0.21818181818181817,0.23636363636363636,0.23636363636363636
42,ff_only,backbone+blink,ff_test,600,0.63344,0.8983003058857586,0.42800000000000005,0.094,0.206,0.244
42,ff_only,backbone+blink,celebdf_test,1306,0.6127566518042565,0.89631124266918,0.41303488412824707,0.00354295837023915,0.07705934455270151,0.17360496014171833
42,ff_only,backbone+blink,dfdc_test,77,0.5652892561983471,0.7957243247039545,0.4545454545454546,0.14545454545454545,0.16363636363636364,0.2909090909090909
42,ff_only,full_fusion,ff_test,600,0.64112,0.8992232513973502,0.41000000000000003,0.12,0.18,0.258
42,ff_only,full_fusion,celebdf_test,1306,0.6290702736785215,0.9048249078640301,0.4125920143319672,0.008857395925597875,0.06997342781222321,0.20017714791851196
42,ff_only,full_fusion,dfdc_test,77,0.5834710743801653,0.8088958624981154,0.4545454545454546,0.21818181818181817,0.21818181818181817,0.2909090909090909
42,mixed,backbone_only,ff_test,600,0.5701,0.8727794405868969,0.45999999999999996,0.046,0.122,0.164
42,mixed,backbone_only,celebdf_test,1306,0.8101114430549509,0.9565024768409582,0.2761505857390921,0.1204605845881311,0.2896368467670505,0.42338352524357836
42,mixed,backbone_only,dfdc_test,77,0.6694214876033058,0.8421161317587684,0.44545454545454544,0.05454545454545454,0.38181818181818183,0.45454545454545453
42,mixed,backbone+rppg,ff_test,600,0.58348,0.8779461148060356,0.45099999999999996,0.068,0.088,0.2
42,mixed,backbone+rppg,celebdf_test,1306,0.8550990076714057,0.9693870611219979,0.21451912346809587,0.20283436669619131,0.3861824623560673,0.5845881310894597
42,mixed,backbone+rppg,dfdc_test,77,0.7090909090909091,0.855313481652022,0.35454545454545455,0.05454545454545454,0.3090909090909091,0.43636363636363634
42,mixed,backbone+blink,ff_test,600,0.57952,0.8766189581110709,0.43999999999999995,0.07,0.12,0.178
42,mixed,backbone+blink,celebdf_test,1306,0.8079896713755986,0.9558537545819152,0.27199711759319034,0.112488928255093,0.2816651904340124,0.4295837023914969
42,mixed,backbone+blink,dfdc_test,77,0.6834710743801653,0.849368478677127,0.4136363636363637,0.05454545454545454,0.4,0.45454545454545453
42,mixed,full_fusion,ff_test,600,0.59458,0.8818107786230747,0.44199999999999995,0.064,0.104,0.226
42,mixed,full_fusion,celebdf_test,1306,0.8526219393193316,0.9684965155167697,0.21955833120655743,0.19309123117803365,0.3649247121346324,0.5544729849424269
42,mixed,full_fusion,dfdc_test,77,0.7223140495867768,0.862210835533368,0.35454545454545455,0.05454545454545454,0.34545454545454546,0.43636363636363634
1337,ff_only,backbone_only,ff_test,600,0.6494,0.8964363016183554,0.38,0.076,0.142,0.174
1337,ff_only,backbone_only,celebdf_test,1306,0.583717404032367,0.8839483146038879,0.4362918036560528,0.001771479185119575,0.05137289636846767,0.14260407440212577
1337,ff_only,backbone_only,dfdc_test,77,0.5628099173553719,0.7849681384457335,0.4545454545454546,0.12727272727272726,0.16363636363636364,0.16363636363636364
1337,ff_only,backbone+rppg,ff_test,600,0.64854,0.8962515630426166,0.38,0.076,0.106,0.182
1337,ff_only,backbone+rppg,celebdf_test,1306,0.5837574374602793,0.8847983706314462,0.44637021913297603,0.001771479185119575,0.04428697962798937,0.1488042515500443
