regime,variant,split,n,auc,auc_ci_lo,auc_ci_hi,ap_ci_lo,ap_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
ff_only,backbone_only,ff_test,600,0.724580,0.671190,0.775913,0.894474,0.941219,0.048000,0.396000,0.244000,0.512050
ff_only,backbone_only,celebdf_test,1306,0.560588,0.515560,0.604681,0.867921,0.903666,0.031001,0.131156,0.080602,0.224978
ff_only,backbone_only,dfdc_test,77,0.561157,0.433037,0.693409,0.705182,0.870056,0.000000,0.472727,0.036364,0.509091
ff_only,backbone+rppg,ff_test,600,0.720620,0.665559,0.770087,0.900205,0.940677,0.056000,0.424000,0.190000,0.500000
ff_only,backbone+rppg,celebdf_test,1306,0.596968,0.553575,0.640585,0.883039,0.915199,0.037201,0.171856,0.097409,0.261293
ff_only,backbone+rppg,dfdc_test,77,0.561983,0.418161,0.696756,0.680893,0.865618,0.000000,0.472727,0.018182,0.509091
ff_only,backbone+blink,ff_test,600,0.719920,0.665710,0.771531,0.896153,0.940067,0.086000,0.394050,0.233950,0.502000
ff_only,backbone+blink,celebdf_test,1306,0.561079,0.516092,0.604186,0.867655,0.903482,0.030115,0.132042,0.082352,0.221457
ff_only,backbone+blink,dfdc_test,77,0.546281,0.418905,0.685971,0.702173,0.871951,0.000000,0.490909,0.036364,0.527273
ff_only,full_fusion,ff_test,600,0.722740,0.667593,0.772172,0.900543,0.941672,0.064000,0.424100,0.213950,0.506000
ff_only,full_fusion,celebdf_test,1306,0.596573,0.552952,0.640180,0.883006,0.915128,0.037201,0.170970,0.097431,0.261315
ff_only,full_fusion,dfdc_test,77,0.585950,0.438017,0.722314,0.688212,0.875997,0.000000,0.490909,0.018182,0.527727
mixed,backbone_only,ff_test,600,0.733040,0.679625,0.781922,0.896759,0.942961,0.070000,0.378000,0.263900,0.536000
mixed,backbone_only,celebdf_test,1306,0.610990,0.566630,0.654548,0.885515,0.919107,0.056665,0.181577,0.125775,0.279008
mixed,backbone_only,dfdc_test,77,0.592562,0.465289,0.726488,0.749855,0.888842,0.090909,0.509091,0.127273,0.527273
mixed,backbone+rppg,ff_test,600,0.726940,0.673258,0.775087,0.898810,0.941847,0.070000,0.426050,0.222000,0.510000
mixed,backbone+rppg,celebdf_test,1306,0.633689,0.593437,0.676411,0.896557,0.926500,0.058437,0.151484,0.119575,0.329517
mixed,backbone+rppg,dfdc_test,77,0.585950,0.445413,0.719008,0.718884,0.881922,0.036364,0.509091,0.054545,0.545455
mixed,backbone+blink,ff_test,600,0.727920,0.673625,0.777184,0.898204,0.942170,0.090000,0.372100,0.234000,0.526050
mixed,backbone+blink,celebdf_test,1306,0.612712,0.568467,0.657046,0.886444,0.919865,0.054894,0.182507,0.129318,0.279008
mixed,backbone+blink,dfdc_test,77,0.565289,0.434711,0.706632,0.737431,0.883606,0.054545,0.545455,0.090909,0.563636
mixed,full_fusion,ff_test,600,0.729040,0.675049,0.776811,0.899597,0.942391,0.064000,0.426000,0.232000,0.518050
mixed,full_fusion,celebdf_test,1306,0.633434,0.592942,0.676180,0.896601,0.926385,0.058437,0.150576,0.120438,0.327768
mixed,full_fusion,dfdc_test,77,0.611570,0.467769,0.746302,0.725763,0.892425,0.036364,0.527273,0.054545,0.581818
