regime,variant,split,n,auc,auc_ci_lo,auc_ci_hi,ap_ci_lo,ap_ci_hi,tpr5_ci_lo,tpr5_ci_hi,tpr10_ci_lo,tpr10_ci_hi
ff_only,backbone_only,ff_test,600,0.724580,0.671190,0.775913,0.894474,0.941219,0.048000,0.396000,0.244000,0.512050
ff_only,backbone_only,celebdf_test,1306,0.560588,0.515560,0.604681,0.867921,0.903666,0.031001,0.131156,0.080602,0.224978
ff_only,backbone_only,dfdc_test,77,0.561157,0.433037,0.693409,0.705182,0.870056,0.000000,0.472727,0.036364,0.509091
ff_only,backbone+rppg,ff_test,600,0.720620,0.665559,0.770087,0.900205,0.940677,0.056000,0.424000,0.190000,0.500000
ff_only,backbone+rppg,celebdf_test,1306,0.560238,0.515107,0.602174,0.868714,0.902473,0.023915,0.134655,0.088552,0.206422
ff_only,backbone+rppg,dfdc_test,77,0.545455,0.411570,0.681012,0.690436,0.862233,0.000000,0.418182,0.036364,0.454545
ff_only,backbone+blink,ff_test,600,0.719920,0.665710,0.771531,0.896153,0.940067,0.086000,0.394050,0.233950,0.502000
ff_only,backbone+blink,celebdf_test,1306,0.566871,0.522650,0.611173,0.871679,0.906288,0.032750,0.132950,0.093866,0.234743
ff_only,backbone+blink,dfdc_test,77,0.557851,0.432231,0.692562,0.703927,0.869119,0.000000,0.472727,0.036364,0.509091
ff_only,full_fusion,ff_test,600,0.722740,0.667593,0.772172,0.900543,0.941672,0.064000,0.424100,0.213950,0.506000
ff_only,full_fusion,celebdf_test,1306,0.557090,0.510744,0.599517,0.866773,0.901141,0.020350,0.125775,0.079717,0.200221
ff_only,full_fusion,dfdc_test,77,0.545455,0.411570,0.681012,0.690436,0.862233,0.000000,0.418182,0.036364,0.454545
mixed,backbone_only,ff_test,600,0.733040,0.679625,0.781922,0.896759,0.942961,0.070000,0.378000,0.263900,0.536000
mixed,backbone_only,celebdf_test,1306,0.610990,0.566630,0.654548,0.885515,0.919107,0.056665,0.181577,0.125775,0.279008
mixed,backbone_only,dfdc_test,77,0.592562,0.465289,0.726488,0.749855,0.888842,0.090909,0.509091,0.127273,0.527273
mixed,backbone+rppg,ff_test,600,0.726540,0.673979,0.775115,0.901540,0.942283,0.054000,0.390000,0.225850,0.530000
mixed,backbone+rppg,celebdf_test,1306,0.603184,0.560302,0.645748,0.886366,0.917591,0.047830,0.169176,0.127524,0.281687
mixed,backbone+rppg,dfdc_test,77,0.555372,0.432211,0.685971,0.734955,0.874420,0.090909,0.490909,0.127273,0.509091
mixed,backbone+blink,ff_test,600,0.735540,0.679380,0.783701,0.897019,0.942503,0.096000,0.344000,0.236000,0.530000
mixed,backbone+blink,celebdf_test,1306,0.641341,0.598533,0.684488,0.894839,0.927259,0.079694,0.225886,0.138153,0.322431
mixed,backbone+blink,dfdc_test,77,0.611570,0.486756,0.736384,0.763452,0.889169,0.127273,0.509091,0.163636,0.563636
mixed,full_fusion,ff_test,600,0.725140,0.672266,0.773131,0.903543,0.942625,0.072000,0.394050,0.228000,0.532000
mixed,full_fusion,celebdf_test,1306,0.605145,0.561676,0.648115,0.887865,0.918369,0.050465,0.170948,0.131089,0.287024
mixed,full_fusion,dfdc_test,77,0.556198,0.433058,0.685971,0.736652,0.874433,0.090909,0.490909,0.127273,0.509091
