regime,variant,split,n,auc_mean,auc_std,ap_mean,ap_std,eer_mean,eer_std,tpr5_mean,tpr5_std,tpr10_mean,tpr10_std
ff_only,backbone+blink,celebdf_test,1306,0.564754,0.002150,0.888116,0.000710,0.444532,0.003360,0.066076,0.006219,0.156067,0.013898
ff_only,backbone+blink,dfdc_test,77,0.553388,0.006391,0.785725,0.002407,0.456364,0.004066,0.203636,0.019917,0.312727,0.008131
ff_only,backbone+blink,ff_test,600,0.720208,0.002025,0.920348,0.000812,0.352400,0.007701,0.250400,0.011524,0.384800,0.007563
ff_only,backbone+rppg,celebdf_test,1306,0.561690,0.001562,0.885718,0.000569,0.448652,0.005101,0.062533,0.005828,0.128255,0.010801
ff_only,backbone+rppg,dfdc_test,77,0.548760,0.008648,0.780797,0.004230,0.460000,0.004979,0.192727,0.009959,0.254545,0.034015
ff_only,backbone+rppg,ff_test,600,0.718412,0.004162,0.921626,0.001451,0.342400,0.011845,0.198400,0.006066,0.398800,0.014805
ff_only,backbone_only,celebdf_test,1306,0.559748,0.001085,0.885608,0.000308,0.448829,0.002882,0.060230,0.000626,0.153942,0.012796
ff_only,backbone_only,dfdc_test,77,0.560331,0.008609,0.788765,0.003846,0.454545,0.000000,0.210909,0.020730,0.309091,0.000000
ff_only,backbone_only,ff_test,600,0.724974,0.001503,0.920434,0.000975,0.337600,0.008764,0.258800,0.006573,0.394800,0.001789
ff_only,full_fusion,celebdf_test,1306,0.562222,0.003562,0.885993,0.001511,0.448386,0.006201,0.063065,0.003931,0.134278,0.013587
ff_only,full_fusion,dfdc_test,77,0.549091,0.008152,0.780549,0.004138,0.460000,0.004979,0.192727,0.009959,0.247273,0.033029
ff_only,full_fusion,ff_test,600,0.718364,0.003515,0.921852,0.001128,0.344200,0.014464,0.198000,0.013038,0.399200,0.017697
mixed,backbone+blink,celebdf_test,1306,0.624453,0.011413,0.906809,0.002958,0.410222,0.004593,0.114792,0.012722,0.218601,0.017065
mixed,backbone+blink,dfdc_test,77,0.595702,0.012954,0.820550,0.007083,0.454545,0.006428,0.250909,0.023706,0.349091,0.032525
mixed,backbone+blink,ff_test,600,0.732952,0.002419,0.922441,0.000618,0.321600,0.004159,0.255600,0.012280,0.336800,0.013609
mixed,backbone+rppg,celebdf_test,1306,0.606896,0.005806,0.902822,0.001565,0.417808,0.009567,0.106820,0.021792,0.203012,0.012517
mixed,backbone+rppg,dfdc_test,77,0.556033,0.010078,0.803669,0.006214,0.470000,0.019709,0.214545,0.023706,0.341818,0.015212
mixed,backbone+rppg,ff_test,600,0.726944,0.001901,0.923767,0.000671,0.329600,0.006731,0.218000,0.014422,0.380400,0.014519
mixed,backbone_only,celebdf_test,1306,0.614558,0.006794,0.903686,0.001945,0.416801,0.004551,0.109477,0.002393,0.200886,0.009650
mixed,backbone_only,dfdc_test,77,0.593554,0.008085,0.819789,0.004628,0.452727,0.007606,0.240000,0.029876,0.378182,0.023706
mixed,backbone_only,ff_test,600,0.733008,0.001232,0.921868,0.000627,0.321800,0.008468,0.272000,0.005657,0.346400,0.008877
mixed,full_fusion,celebdf_test,1306,0.610102,0.005231,0.904191,0.001207,0.414431,0.008753,0.115500,0.019391,0.195217,0.020891
mixed,full_fusion,dfdc_test,77,0.555868,0.010593,0.804794,0.006409,0.468182,0.020830,0.225455,0.027574,0.356364,0.009959
mixed,full_fusion,ff_test,600,0.726404,0.002827,0.923739,0.000445,0.329600,0.006387,0.223200,0.013971,0.379600,0.013520
